Year,MovieId,Name,id
2022,21054,奇異博士2：失控多重宇宙,453395.0
2022,21741,雷神索爾：愛與雷霆,616037.0
2022,20277,金牌特務：金士曼起源,476669.0
2022,19639,猛毒2：血蜘蛛,580489.0
2022,19182,沙丘,438631.0
2022,19150,尚氣與十環傳奇,566525.0
2022,22676,黑亞當,436270.0
2022,20587,蝙蝠俠,414906.0
2022,20863,怪獸與鄧不利多的秘密,338953.0
2022,21777,子彈列車,718930.0
2022,20539,秘境探險,335787.0
2022,18984,脫稿玩家,550988.0
2022,20828,媽的多重宇宙,545611.0
2022,20215,駭客任務：復活,624860.0
2022,20484,月球隕落,406759.0
2022,19984,惡靈古堡首部曲：拉昆市,460458.0
2022,20786,魔比斯,526896.0
2022,18891,黑寡婦,497698.0
2022,21422,巴斯光年(英文版),718789.0
2022,20470,尼羅河謀殺案,505026.0
2022,20050,魔法滿屋,568124.0
2022,22373,微笑,882598.0
2022,20210,歡樂好聲音 2,438695.0
2022,20748,失落謎城,752623.0
2022,21742,雷神索爾：愛與雷霆,616037.0
2022,20580,劫命救護,763285.0
2022,21821,孤兒怨2：最黑暗的過去,760161.0
2022,20212,GUCCI：豪門謀殺案,644495.0
2022,20635,壞蛋聯盟,629542.0
2022,18983,汪汪隊立大功電影版,675445.0
2022,22355,幸福入場券,800939.0
2022,20820,音速小子 2,675353.0
2022,22663,五星饗魘,593643.0
2022,18759,厲陰宅3：是惡魔逼我的,423108.0
2022,22416,阿凡達 (A版),19995.0
2022,21837,DC超級寵物軍團(英文版),539681.0
2022,18014,捍衛救援,634528.0
2022,18846,路卡的夏天,508943.0
2022,20403,夜路,597208.0
2022,19688,法蘭西特派週報,542178.0
2022,18925,寶貝老闆：家大業大,459151.0
2022,22337,墜,985939.0
2022,18816,殺手保鑣2,522931.0
2022,23155,決戰38度線,653851.0
2022,20582,黑光行動,823625.0
2022,18866,密弒遊戲2：勝者危亡,585216.0
2022,19161,疾厄,619778.0
2022,22879,鬼禱,676547.0
2022,20241,闇黑電話,756999.0
2022,20925,超吉任務,648579.0
2022,7858,以你的名字呼喚我,398818.0
2022,20104,哈利波特：神秘的魔法石,671.0
2022,18958,暫時停止呼吸2,482373.0
2022,18824,疾凍救援,646207.0
2022,23153,暴戾夜,899112.0
2022,20294,355：諜影特攻,522016.0
2022,19817,天兵阿榮,482321.0
2022,23138,奇異冒險 (英文版),877269.0
2022,20240,驚聲尖叫,646385.0
2022,19964,迷離夜蘇活,576845.0
2022,19786,王者理查,614917.0
2022,21867,沼澤謀殺案,682507.0
2022,22530,阿姆斯特丹,664469.0
2022,19308,月光光新慌慌：萬聖殺,610253.0
2022,18430,夢想之地,615643.0
2022,20137,阿達一族 2,639721.0
2022,22195,拉辛正傳,601635.0
2022,19919,大紅狗克里弗,585245.0
2022,22245,別擔心親愛的,619730.0
2022,20982,記憶殺神,818397.0
2022,22652,月光光新慌慌：萬聖結,616820.0
2022,19783,史賓賽,716612.0
2022,23144,鞋貓劍客 2,315162.0
2022,22924,骨肉的總和,791177.0
2022,22115,三千年的渴望,556694.0
2022,22476,哥兒們,614939.0
2022,19657,鹿魔,516329.0
2022,19539,最後的決鬥,617653.0
2022,22242,看你往哪跑,766475.0
2022,20362,西城故事,511809.0
2022,21942,獸,760741.0
2022,22328,捍衛戰士,744.0
2022,21719,喜悅：達賴喇嘛遇見屠圖主教,836723.0
2022,22116,世紀婚魘,830788.0
2022,21930,天黑請斃命,520023.0
2022,9023,2001太空漫遊,62.0
2022,20394,王牌冤家,38.0
2022,22397,毛骨悚然：惡魔重生,717728.0
2022,20356,死間行動,661231.0
2022,22308,刀鋒劍客(英語版),366672.0
2022,9986,鬼店,694.0
2022,20770,救命緝約,628900.0
2022,23321,與你共舞,696157.0
2022,23084,她有話要說,837881.0
2022,19659,達賴的一生,9746.0
2022,22651,天劫高手,842942.0
2022,20659,絕命通話,764835.0
2022,17499,說不出的告別,536396.0
2022,20660,貝爾法斯特,777270.0
2022,20235,黑特冤家,603661.0
2022,22679,驚爆倒數60分鐘,888195.0
2022,20363,看不見的殺機,825808.0
2022,22963,絕命線阱,979924.0
2022,21033,驅神,836225.0
2022,20528,逍遙上路,626735.0
2022,6252,八月三十一日，我在奧斯陸,75233.0
2022,23128,俠探特攻：全面追緝,1024546.0
2022,20554,終極堡壘,826749.0
2022,20472,終極攻佔,718949.0
2022,18735,金甲部隊,600.0
2022,19690,地球重生,760873.0
2022,18693,獵殺戰場,733317.0
2022,19241,生命理賠師,649394.0
2022,23286,俠探特攻：贖罪行動,1035803.0
2022,20848,玩命獵殺,628878.0
2022,20143,完美的敵人,655917.0
2022,21306,大開眼戒,345.0
2022,21388,午後彌撒 ,423333.0
2022,20211,危城行動,762433.0
2022,20713,劫獄救援,818192.0
2022,20861,終極交戰,864116.0
2022,18707,齊瓦哥醫生,907.0
2022,20681,全面掃蕩,689700.0
2022,23311,朝聖之路：聖雅各,59468.0
2022,20561,詭謎藏,801271.0
2022,21802,殺戮基地,848123.0
2022,19475,爽賺姐妹,628914.0
2022,20458,情聖西哈諾,730047.0
2022,19601,四個好日子,641960.0
2022,20736,心碎效應,844398.0
2022,19921,蘿莉塔,9769.0
2022,20930,終極夜路,916821.0
2022,20809,終極包圍戰,766907.0
2022,20560,通靈女校,641668.0
2022,21180,進擊的地才,821427.0
