tw_id,tw_title,tw_first_release_date
21017,鯊顫,2022-05-13
20802,餐廳失控夜,2022-04-01
22117,士兵與軍官,2022-09-02
21312,伊恩•麥克連 80歲個人秀巡迴演出（英國國家劇院現場）,2022-06-11
20693,極限逃殺,2022-03-18
22611,如果驢知道,2022-12-02
19272,算牌手,2021-09-17
21758,法蘭克札帕：從前衛到當代,2022-07-29
21906,我們的英搖時光,2022-08-12
20076,愛上費加洛,2021-12-17
21268,羅密歐與茱麗葉（英國國家劇院現場）,2022-06-10
18530,裸體午餐,1992-03-14
23342,初步舉證,2022-12-20
14480,超速性追緝,1996-10-25
21515,利奥波德城（英國國家劇院現場）,2022-06-14
22260,性愛成癮的男人,2022-09-23
22407,丹尼爾約翰斯頓：魔鬼詩篇,2022-09-23
14021,遮蔽的天空,2022-01-21
20827,瑪莉娜的512小時,2022-04-15
20418,波西米亞人（英國皇家歌劇院）,2022-02-10
20519,馬克白（英國皇家歌劇院）,2022-02-10
11227,山那邊的青稞田,2019-01-18
23320,夢迴西藏：軍官與達賴喇嘛,2022-12-30
21869,偷香 數位修復版,2022-08-05
20337,曼儂‧雷斯科（英國皇家歌劇院）,2022-02-10
22880,大製片家,2022-11-25
20291,毫無意義,2022-01-07
20293,兩情世界,2022-01-07
20292,打擊驚魂,2022-01-07
20290,小心女人,2022-01-07
21117,捍衛戰士: 獨行俠,2022-05-23
20189,蜘蛛人：無家日,2021-12-15
23322,阿凡達：水之道,2022-12-16
21161,侏羅紀世界: 統霸天下,2022-06-08
19885,永恆族,2021-11-03
23049,黑豹 2：瓦干達萬歲,2022-11-09
21054,奇異博士2：失控多重宇宙,2022-05-04
21741,雷神索爾：愛與雷霆,2022-07-06
20277,金牌特務：金士曼起源,2021-12-30
19639,猛毒2：血蜘蛛,2021-10-13
19182,沙丘,2021-09-16
19468,007 生死交戰,2021-09-29
19150,尚氣與十環傳奇,2021-09-02
22676,黑亞當,2022-10-19
20810,小小兵2:格魯的崛起,2022-07-01
20587,蝙蝠俠,2022-03-03
20863,怪獸與鄧不利多的秘密,2022-04-14
21777,子彈列車,2022-08-03
20539,秘境探險,2022-02-17
18984,脫稿玩家,2021-08-12
20828,媽的多重宇宙,2022-04-22
20215,駭客任務：復活,2021-12-22
20484,月球隕落,2022-02-03
19984,惡靈古堡首部曲：拉昆市,2021-11-26
20786,魔比斯,2022-04-01
18891,黑寡婦,2021-07-14
21422,巴斯光年(英文版),2022-06-17
20470,尼羅河謀殺案,2022-02-11
20050,魔法滿屋,2021-11-26
22373,微笑,2022-09-30
20210,歡樂好聲音 2,2022-01-28
20748,失落謎城,2022-04-08
21742,雷神索爾：愛與雷霆,2022-07-06
20580,劫命救護,2022-03-25
21821,孤兒怨2：最黑暗的過去,2022-08-26
20212,GUCCI：豪門謀殺案,2022-01-07
20635,壞蛋聯盟,2022-03-18
18983,汪汪隊立大功電影版,2021-09-17
22355,幸福入場券,2022-10-07
20820,音速小子 2,2022-04-01
22663,五星饗魘,2022-12-02
18759,厲陰宅3：是惡魔逼我的,2021-07-22
22416,阿凡達 (A版),2022-09-23
21896,不!,2022-08-12
21837,DC超級寵物軍團(英文版),2022-08-09
18014,捍衛救援,2021-01-20
18846,路卡的夏天,2021-08-06
19955,魔鬼剋星：未來世,2021-12-31
20403,夜路,2022-01-28
21582,貓王艾維斯,2022-06-23
19688,法蘭西特派週報,2021-12-10
18925,寶貝老闆：家大業大,2021-10-08
22337,墜,2022-09-16
18816,殺手保鑣2,2021-10-08
23155,決戰38度線,2022-12-02
20582,黑光行動,2022-02-25
18866,密弒遊戲2：勝者危亡,2021-09-17
19161,疾厄,2021-09-02
22879,鬼禱,2022-10-28
20241,闇黑電話,2022-07-01
20925,超吉任務,2022-04-22
7858,以你的名字呼喚我,2018-01-12
20104,哈利波特：神秘的魔法石,2001-11-16
18958,暫時停止呼吸2,2021-08-20
18824,疾凍救援,2021-09-24
23153,暴戾夜,2022-12-02
20294,355：諜影特攻,2022-01-19
19817,天兵阿榮,2021-10-29
23138,奇異冒險 (英文版),2022-11-25
20240,驚聲尖叫,2022-01-14
19964,迷離夜蘇活,2021-11-12
19786,王者理查,2021-11-18
21867,沼澤謀殺案,2022-10-07
22530,阿姆斯特丹,2022-10-07
19308,月光光新慌慌：萬聖殺,2021-10-22
18430,夢想之地,2021-04-23
20137,阿達一族 2,2021-12-30
22195,拉辛正傳,2022-09-08
19919,大紅狗克里弗,2021-12-10
22245,別擔心親愛的,2022-09-16
20982,記憶殺神,2022-04-29
22652,月光光新慌慌：萬聖結,2022-10-14
19783,史賓賽,2021-11-05
23144,鞋貓劍客 2,2022-09-23
22924,骨肉的總和,2022-11-24
22115,三千年的渴望,2022-09-02
22476,哥兒們,2022-10-19
19657,鹿魔,2021-11-12
19539,最後的決鬥,2021-10-15
22242,看你往哪跑,2022-09-16
20362,西城故事,2022-01-21
21942,獸,2022-08-19
22328,捍衛戰士,2022-09-18
21719,喜悅：達賴喇嘛遇見屠圖主教,2022-07-22
20459,娶我吧!,2022-02-11
22116,世紀婚魘,2022-09-02
21930,天黑請斃命,2022-08-19
9023,2001太空漫遊,2018-06-04
20394,王牌冤家,2022-02-11
22397,毛骨悚然：惡魔重生,2022-09-23
20356,死間行動,2022-04-29
22308,刀鋒劍客(英語版),2022-09-30
9986,鬼店,2018-09-28
20770,救命緝約,2022-03-25
23321,與你共舞,2022-12-30
22222,蜘蛛人：無家日 戲院加長版,2022-09-02
23084,她有話要說,2022-11-18
19659,達賴的一生,2022-07-08
22651,天劫高手,2022-10-14
20659,絕命通話,2022-03-11
17499,說不出的告別,2020-11-27
20660,貝爾法斯特,2022-03-11
20235,黑特冤家,2022-02-11
22679,驚爆倒數60分鐘,2022-10-14
20363,看不見的殺機,2022-01-07
22963,絕命線阱,2022-11-04
21033,驅神,2022-07-08
20528,逍遙上路,2022-02-18
6252,八月三十一日，我在奧斯陸,2013-05-31
23128,俠探特攻：全面追緝,2022-11-25
20554,終極堡壘,2022-03-18
20472,終極攻佔,2022-02-04
18735,金甲部隊,2022-08-26
19690,地球重生,2022-02-11
18693,獵殺戰場,2022-03-18
19241,生命理賠師,2022-03-04
23286,俠探特攻：贖罪行動,2022-12-09
20848,玩命獵殺,2022-04-08
20143,完美的敵人,2022-02-18
21306,大開眼戒,2022-09-08
21388,午後彌撒 ,2022-06-17
20211,危城行動,2022-01-07
20713,劫獄救援,2022-03-18
20861,終極交戰,2022-09-08
18707,齊瓦哥醫生,2022-10-05
20681,全面掃蕩,2022-03-18
23311,朝聖之路：聖雅各,2022-12-23
20561,詭謎藏,2022-04-01
21802,殺戮基地,2022-07-29
19475,爽賺姐妹,2021-10-22
20458,情聖西哈諾,2022-02-25
19601,四個好日子,2021-10-08
20736,心碎效應,2022-09-23
19921,蘿莉塔,2022-06-17
21116,探戈行不行,2022-08-26
20930,終極夜路,2022-06-02
20809,終極包圍戰,2022-04-08
20560,通靈女校,2022-03-04
