MovieId,Publisher_name,PublisherId
26366,ADACHI MASAO SCREENING COMMITTEE,28
26365,ADACHI MASAO SCREENING COMMITTEE,28
26363,ADACHI MASAO SCREENING COMMITTEE,28
28363,AKANGA FILM ASIA,32
21223,ALL RIGHTS ENTERTAINMENT.LTD,35
26956,ALPHA VIOLET,36
22739,ALPHA VIOLET,36
23217,ALPHA VIOLET,36
23687,ALTITUDE FILM SALES LIMITED,38
28745,ALTITUDE FILM SALES LIMITED,38
28917,ALTITUDE FILM SALES LIMITED,38
26958,ANGEL STUDIOS LICENSING LLC,41
26836,ANGEL STUDIOS LICENSING LLC,41
20780,ANIMATION ENTERTAINMENT LTD.,42
25011,ANIMATION INTERNATIONAL LTD,43
25106,ANIMATION INTERNATIONAL LTD,43
25023,ANIMATION INTERNATIONAL LTD,43
25043,ANIMATION INTERNATIONAL LTD,43
24972,ANIMATION INTERNATIONAL LTD,43
25078,ANIMATION INTERNATIONAL LTD,43
25127,ANIMATION INTERNATIONAL LTD,43
28637,ANIPLEX,44
28752,ANIPLEX INC.,46
29592,ANIPLEX INC.,46
25304,ANIPLEX INC.,46
25991,ANIPLEX INC.,46
25341,ANIPLEX INC.,46
22751,ANIPLEX INC.,46
17368,ANIPLEX INC.,46
26668,ANIPLEX INC.,46
23365,ANIPLEX INC.,46
28735,ANIPLEX INC.,46
19722,ANIPLEX INC.,46
23662,ANIPLEX INC.,46
27734,ANIPLEX INC.,46
20057,ANIPLEX INC.,46
19895,ANIPLEX INC.,46
24969,ANIPLEX INC.,46
19094,ANIPLEX INC.,46
14011,ANIPLEX INC.,46
27965,ANIPLEX INC.,46
26383,ANIPLEX INC.,46
20134,ARTHOOD ENTERTAINMENT GMBH,51
20312,ARTHUR FILM 아더필름(주),53
25398,ASMIK ACE INC.,56
27600,ASMIK ACE INC.,56
26139,ASMIK ACE INC.,56
25591,ATRIUM PRODUCTION KFT.,57
22265,ATRIUM PRODUCTIONS KFT.,59
20681,ATRIUM PRODUCTIONS KFT.,59
22479,ATRIUM PRODUCTIONS KFT.,59
21160,ATRIUM PRODUCTIONS KFT.,59
24417,ATRIUM PRODUCTIONS KFT.,59
22651,ATRIUM PRODUCTIONS KFT.,59
23786,ATRIUM PRODUCTIONS KFT.,59
25803,ATRIUM PRODUCTIONS KFT.,59
20975,ATRIUM PRODUCTIONS KFT.,59
20848,ATRIUM PRODUCTIONS KFT.,59
22818,ATRIUM PRODUCTIONS KFT.,59
21779,ATRIUM PRODUCTIONS KFT.,59
24252,ATRIUM PRODUCTIONS KFT.,59
20713,ATRIUM PRODUCTIONS. KFT.,60
28484,AUTLOOK FILMSALES GMBH,61
24729,AUTLOOK FILMSALES GMBH,61
29084,AUTLOOK FILMSALES GMBH AS SALES AGENT FOR VENOM LTD,62
20744,AVEX PICTURE INC.,63
28046,AVEX PICTURES INC.,64
20355,BANDAI NAMCO ARTS INC.,65
20579,BATRAX ENTERTAINMENT B.V.,69
26317,BE FOR FILMS,71
27158,BE FOR FILMS,71
20712,BE FOR FILMS,71
26705,BE FOR FILMS,71
18318,BENED GOBAL SDN BHD,76
29524,BEST FRIEND FOREVER SPRL,77
28456,BEST FRIEND FOREVER SPRL,77
20527,BETA CINEMA,78
22114,BIGWEST CO. LTD.,83
22229,BIGWEST CO. LTD.,83
24372,BITTERS END INC,84
20582,BL PRODUCTION LLC,85
26885,BLUE FINCH FILM RELEASING LIMITED,90
29714,BLUE FOX ENTERTAINMENT2 LLC,91
25408,BUENA VISTA INTERNATIONAL INC.,95
22663,BUENA VISTA INTERNATIONAL INC.,95
22242,BUENA VISTA INTERNATIONAL INC.,95
22416,BUENA VISTA INTERNATIONAL INC.,95
22530,BUENA VISTA INTERNATIONAL INC.,95
23138,BUENA VISTA INTERNATIONAL INC.,95
26318,BUENA VISTA INTERNATIONAL INC.,95
25524,BUENA VISTA INTERNATIONAL INC.,95
22678,BUENA VISTA INTERNATIONAL INC.,95
27384,BUENA VISTA INTERNATIONAL INC.,95
23646,BUENA VISTA INTERNATIONAL INC.,95
27655,BUENA VISTA INTERNATIONAL INC.,95
25060,BUENA VISTA INTERNATIONAL INC.,95
23647,BUENA VISTA INTERNATIONAL INC.,95
26989,BUENA VISTA INTERNATIONAL INC.,95
26229,BUENA VISTA INTERNATIONAL INC.,95
24784,BUENA VISTA INTERNATIONAL INC.,95
26716,BUENA VISTA INTERNATIONAL INC.,95
26066,BUENA VISTA INTERNATIONAL INC.,95
28065,BUENA VISTA INTERNATIONAL INC.,95
29376,BUENA VISTA INTERNATIONAL INC.,95
22649,BUENA VISTA INTERNATIONAL INC.,95
23049,BUENA VISTA INTERNATIONAL INC.,95
29594,BUENA VISTA INTERNATIONAL INC.,95
28195,BUENA VISTA INTERNATIONAL INC.,95
26243,BUENA VISTA INTERNATIONAL INC.,95
20277,BUENA VISTA INTERNATIONAL INC.,95
23322,BUENA VISTA INTERNATIONAL INC.,95
23641,BUENA VISTA INTERNATIONAL INC.,95
19817,BUENA VISTA INTERNATIONAL INC.,95
20362,BUENA VISTA INTERNATIONAL INC.,95
19539,BUENA VISTA INTERNATIONAL INC.,95
19688,BUENA VISTA INTERNATIONAL INC.,95
19657,BUENA VISTA INTERNATIONAL INC.,95
20403,BUENA VISTA INTERNATIONAL INC.,95
18846,BUENA VISTA INTERNATIONAL INC.,95
19150,BUENA VISTA INTERNATIONAL INC.,95
21742,BUENA VISTA INTERNATIONAL INC.,95
19885,BUENA VISTA INTERNATIONAL INC.,95
21422,BUENA VISTA INTERNATIONAL INC.,95
20470,BUENA VISTA INTERNATIONAL INC.,95
20050,BUENA VISTA INTERNATIONAL INC.,95
18984,BUENA VISTA INTERNATIONAL INC.,95
21054,BUENA VISTA INTERNATIONAL INC.,95
21741,BUENA VISTA INTERNATIONAL INC.,95
18891,BUENA VISTA INTERNATIONAL INC.,95
24787,"BUENA VISTA INTERNATIONAL, INC.",96
24416,"BUENA VISTA INTERNATIONAL, INC.",96
24128,"BUENA VISTA INTERNATIONAL, INC.",96
5887,"BUENA VISTA INTERNATIONAL,INC.",97
23923,BANDAI NAMCO FILMWORKS,66
27959,BANDAI NAMCO FILMWORKS INC.,67
25350,BANDAI NAMCO FILMWORKS INC.,67
25400,BANDAI NAMCO FILMWORKS INC.,67
23197,BANDAI NAMCO FILMWORKS INC.,67
25045,BANKSIDE FILMS LTD,68
23885,BANKSIDE FILMS LTD,68
25637,BANKSIDE FILMS LTD,68
26213,BANKSIDE FILMS LTD,68
20589,BAVARIA MEDIA INTERNATIONAL A DIVISION OF BAVARIA MEDIA GMBH,70
21046,BE FOR FILMS,71
26501,BE ON CLOUD CO. LTD,72
26650,BEIJING MONAR FILMS CO. LTD,73
28435,BEIJING MONAR FILMS CO. LTD.,74
26214,BENDITA FILMS SALES,75
20223,BETA CINEMA GMBH,79
20534,BETA CINEMA GMBH,79
22515,BETA CINEMA GMBH,79
19408,BETA CINEMA GMBH.,80
26477,BETA CINEMA GMBH,79
23290,BETA FILM GMBH,81
18110,BETA FILM GMBH,81
19510,BEYOND C. CO. LTD.,82
25359,BLACKBIRD PRODUCTIONS B.V.,86
29155,BLEIBERG ENTERTAINMENT LLC,87
25321,BLEIBERG ENTERTAINMENT LLC,87
23519,BLOCK 2 DISTRIBUTION LTD. 春光電影發行有限公司,88
23519,BLOCK 2 PICTURES INC. 春光映画,89
28508,BLUE RIVER FILMS CO. LTD.,92
20659,BOIES,93
28551,BOIES,93
