id,gender,name,original_name,known_for_department
1077269,1,Moon Jeong-hee,문정희,Acting
1755036,1,Jin Seo-yeon,진서연,Acting
141857,2,Choi Deok-moon,최덕문,Acting
69378,2,Kim Sang-kyung,김상경,Acting
560081,2,Yoon Kyung-ho,윤경호,Acting
1530559,2,Jang Hyuk-jin,장혁진,Acting
980225,1,Ra Mi-ran,라미란,Acting
84788,2,Kim Moo-yul,김무열,Acting
1591370,2,Seo Hyun-woo,서현우,Acting
1295461,1,Park Jin-joo,박진주,Acting
2088068,1,Lee Ji-hyun,이지현,Acting
2088072,2,Kim Yong-jun,Kim Yong-jun,Acting
1831725,1,Yang Jeong-hwa,양정화,Acting
64880,2,Choi Min-sik,최민식,Acting
1292971,2,Park Hae-jun,박해준,Acting
1984373,1,Jo Yoon-seo,조윤서,Acting
1134685,2,Son Ho-jun,손호준,Acting
1916075,2,Lee Kyoo-hyung,이규형,Acting
572182,2,Jeon No-min,전노민,Acting
2133923,2,Lee Jung-ok,이중옥,Acting
1263930,1,Chun Woo-hee,천우희,Acting
25004,2,Shin Ha-kyun,신하균,Acting
588209,1,Lee Hye-young,이혜영,Acting
1988598,1,Park Ji-hyun,박지현,Acting
2313835,2,Cha Rae-hyung,차래형,Acting
85008,2,Sul Kyung-gu,설경구,Acting
115290,2,Lee Sun-kyun,이선균,Acting
1336804,2,Yoo Jae-myung,유재명,Acting
1566012,2,Jo Woo-jin,조우진,Acting
1277308,2,Park In-hwan,박인환,Acting
146114,1,Hong Huifang,Hong Huifang,Acting
3229192,2,Kang Hyung-suk,강형석,Acting
1239245,2,Jeong Dong-hwan,정동환,Acting
2199863,2,Shane Pow,Shane Pow,Acting
1346848,2,Yeon Woo-jin,연우진,Acting
2079947,1,Ji an,Ji an,Acting
552072,2,Jeong Gyu-su,정규수,Acting
3441296,2,Kim Ji-chul,Kim Ji-chul,Acting
86330,2,Lee Beom-soo,이범수,Acting
231476,2,Lee Kyung-young,이경영,Acting
1572354,1,Lee Jung-eun,이정은,Acting
1386418,1,Min Do-hee,민도희,Acting
2101538,2,Cha Soon-bae,차순배,Acting
1254424,1,Kang Byul,강별,Acting
2604508,2,Park Yeon-woo,Park Yeon-woo,Acting
1252955,1,Kang Seung-hyun,강승현,Acting
1654631,2,Song Young-gyu,송영규,Acting
2288848,2,Shin Seok-ho,신석호,Acting
2973301,1,Park Mi-so,박미소,Acting
232034,2,Kim Young-ho,김영호,Acting
1106129,1,Ye Ji-won,예지원,Acting
64454,2,Gi Ju-bong,기주봉,Acting
1255801,2,Cho Dong-hyuk,조동혁,Acting
1454804,2,Cha Sun-woo,차선우,Acting
3312256,0,장석현,장석현,Acting
3312258,1,Lim Young-joo,Lim Young-joo,Acting
2621979,1,Han Chae-kyung,Han Chae-kyung,Acting
123820,2,Kim Sang-ho,김상호,Acting
1425274,1,Moon Sook,문숙,Acting
2042978,1,Lee Joo-young,이주영,Acting
1887586,1,Cho Yun-hee,조윤희,Acting
554945,2,Kwon Hae-hyo,권해효,Acting
1374555,1,Kim Sae-byuk,김새벽,Acting
123664,1,Kim Min-hee,김민희,Acting
564849,1,Seo Young-hwa,서영화,Acting
2886237,0,Lee Bong-ha,Lee Bong-ha,Acting
2886238,2,Kim Ah-seok,Kim Ah-seok,Acting
560079,2,Shin Un-seop,신운섭,Acting
2752568,1,Kim Jeong-yeon,Kim Jeong-yeon,Acting
