MovieId,Name,production_country,tw_first_release_date
20749,奇怪的數學家,韓國,2022-03-18 00:00:00
20942,超跑斯特拉,韓國,2022-04-29 00:00:00
21164,死亡預報,韓國,2022-05-13 00:00:00
23390,碰碰狐音樂電影:奇幻城嘉年華,韓國,2022-12-23 00:00:00
23199,王者製造,韓國,2022-12-02 00:00:00
23364,花路阿朱媽,韓國,2022-12-23 00:00:00
20633,遊走塵市間,韓國,2022-03-18 00:00:00
20778,為人民服務,韓國,2022-03-25 00:00:00
22818,笑子當老大,韓國,2022-10-28 00:00:00
20661,茲山魚譜,韓國,2022-03-11 00:00:00
20473,亡命陷阱,韓國,2022-01-28 00:00:00
18817,引言,韓國,2021-12-24 00:00:00
20994,春川神秘中邪事件,韓國,2022-04-29 00:00:00
18794,無人之境,韓國,2022-01-21 00:00:00
20555,在你面前,韓國,2022-04-15 00:00:00
23146,小說家電影,韓國,2022-12-09 00:00:00
20801,阿爸休假中,韓國,2022-04-22 00:00:00
22754,時間之舞,韓國,2022-10-24 00:00:00
23154,閨蜜大狂殺,澳洲,2022-12-16 00:00:00
19991,花果飄零,澳洲,2022-03-04 00:00:00
19811,浮生,澳洲,2022-03-13 00:00:00
22858,海鷗來過的房間,澳門,2022-11-11 00:00:00
21384,黎巴嫩的天空,黎巴嫩,2022-06-10 00:00:00
22111,聽見心嘻望,摩洛哥,2022-09-23 00:00:00
18924,瑪雅蜜蜂大冒險：守護小金蛋,德國,2022-02-25 00:00:00
21265,PINA,德國,2022-06-02 00:00:00
21031,詭棋,德國,2022-05-13 00:00:00
22172,米婭的精靈王國,德國,2022-08-26 00:00:00
20589,再見列寧！,德國,2022-03-11 00:00:00
21857,非戀人絮語,德國,2022-08-05 00:00:00
21664,永別了，柏林,德國,2022-07-29 00:00:00
21214,自然就樹美,德國,2022-06-02 00:00:00
20534,我是你的完美男友,德國,2022-02-25 00:00:00
22432,逃出風暴,德國,2022-10-28 00:00:00
20223,鄰危不亂,德國,2022-01-07 00:00:00
22515,趴兔青春期,德國,2022-10-21 00:00:00
20134,指考風暴,德國,2022-04-01 00:00:00
21746,泳漾水男孩,德國,2022-08-19 00:00:00
21236,熟女解放中,德國,2022-06-10 00:00:00
20103,騎趣環世界,德國,2021-12-30 00:00:00
18291,型男斷捨離,德國,2022-02-11 00:00:00
19920,人性遊戲,德國,2022-01-07 00:00:00
23290,蘿拉快跑,德國,2022-12-17 00:00:00
22270,危雞總動員,墨西哥,2022-09-23 00:00:00
19372,達賴喇嘛:大腦故事 ,義大利,2021-11-12 00:00:00
21998,請為我在羅馬多留一天,義大利,2022-09-08 00:00:00
20313,非甜蜜生活,義大利,2021-12-28 00:00:00
20872,真愛超能力,義大利,2022-04-29 00:00:00
21789,洞,義大利,2022-07-22 00:00:00
21263,愛在書店相遇時,義大利,2022-06-02 00:00:00
21352,隔離巢,義大利,2022-06-17 00:00:00
20239,戰地夜曲,義大利,2022-07-01 00:00:00
22877,星夢性快感,瑞典,2022-11-11 00:00:00
21045,阿哈：帶我走,瑞士,2022-05-13 00:00:00
22739,瑞士鐘錶師,瑞士,2022-11-04 00:00:00
22523,女孩與蜘蛛,瑞士,2022-12-02 00:00:00
21919,妖街皇后,新加坡,2022-09-23 00:00:00
20556,愛你讓我自由,奧地利,2022-03-25 00:00:00
21659,黑貓白貓：4K數位修復版,塞爾維亞,2022-08-12 00:00:00
22648,替屍鬼2：詛咒再臨,越南,2022-10-07 00:00:00
