MovieId,Year,Amount,Tickets,TotalAmount,TotalTickets,Rate,TheaterCount,Created_time,updated_time,start_date,end_date
22479,2022,944656.0,3895.0,17975311.0,73487.0,-0.529558002,70.0,2025-01-31 14:01:42.944,2025-01-31 14:01:42.944,2022-10-24,2022-10-30
22479,2022,316134.0,1300.0,18291445.0,74787.0,-0.6653448451,55.0,2025-01-31 14:01:42.944,2025-01-31 14:01:42.944,2022-10-31,2022-11-06
22479,2022,73148.0,327.0,18364593.0,75114.0,-0.7686171054000001,28.0,2025-01-31 14:01:42.944,2025-01-31 14:01:42.944,2022-11-07,2022-11-13
22479,2022,28132.0,129.0,18392725.0,75243.0,-0.615409854,7.0,2025-01-31 14:01:42.944,2025-01-31 14:01:42.944,2022-11-14,2022-11-20
22479,2022,1480.0,7.0,18394205.0,75250.0,-0.9473908716,2.0,2025-01-31 14:01:42.944,2025-01-31 14:01:42.944,2022-11-21,2022-11-27
21736,2022,5278525.0,21911.0,5278525.0,21911.0,0.0,62.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-06-27,2022-07-03
21736,2022,5538056.0,23135.0,10816581.0,45046.0,0.0491673337,62.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-07-04,2022-07-10
21736,2022,3363970.0,14108.0,14180551.0,59154.0,-0.3925720506,61.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-07-11,2022-07-17
21736,2022,1583686.0,6784.0,15764237.0,65938.0,-0.5292211286,56.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-07-18,2022-07-24
21736,2022,714711.0,3054.0,16478948.0,68992.0,-0.5487040992000001,43.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-07-25,2022-07-31
21736,2022,264027.0,1123.0,16742975.0,70115.0,-0.6305821514000001,27.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-08-01,2022-08-07
21736,2022,110101.0,468.0,16853076.0,70583.0,-0.582993406,17.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-08-08,2022-08-14
21736,2022,29832.0,123.0,16882908.0,70706.0,-0.7290487825,7.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-08-15,2022-08-21
21736,2022,7380.0,30.0,16890288.0,70736.0,-0.7526146420000001,2.0,2025-01-31 14:03:39.453,2025-01-31 14:03:39.457,2022-08-22,2022-08-28
21615,2022,4580905.0,18669.0,4580905.0,18669.0,0.0,69.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-06-20,2022-06-26
21615,2022,5461821.0,22389.0,10042726.0,41058.0,0.1923017395,69.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-06-27,2022-07-03
21615,2022,2403256.0,9782.0,12445982.0,50840.0,-0.5599899740000001,69.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-07-04,2022-07-10
21615,2022,1244363.0,5074.0,13690345.0,55914.0,-0.4822178744,55.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-07-11,2022-07-17
21615,2022,522854.0,2165.0,14213199.0,58079.0,-0.5798219651000001,39.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-07-18,2022-07-24
21615,2022,180763.0,743.0,14393962.0,58822.0,-0.6542763372,22.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-07-25,2022-07-31
21615,2022,80756.0,330.0,14474718.0,59152.0,-0.5532492822,11.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-08-01,2022-08-07
21615,2022,78245.0,344.0,14552963.0,59496.0,-0.0310936649,7.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-08-08,2022-08-14
21615,2022,5130.0,19.0,14558093.0,59515.0,-0.9344367052,1.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-08-15,2022-08-21
21615,2022,1230.0,5.0,14559323.0,59520.0,-0.7602339181000001,1.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-08-22,2022-08-28
21615,2022,36000.0,180.0,14595323.0,59700.0,0.0,1.0,2025-01-31 14:03:39.471,2025-01-31 14:03:39.471,2022-09-19,2022-09-25
21222,2022,3234647.0,13632.0,3234647.0,13632.0,0.0,64.0,2025-01-31 14:03:39.485,2025-01-31 14:03:39.485,2022-05-16,2022-05-22
