Year,MovieId,Name,id,imdb_id,origin_country_first,runtime,budget,revenue
2022,23085,愛情需要編劇,922378,tt19357986,TH,100,0,0
2022,20314,記憶,511819,tt8399288,CO,136,0,0
2022,20413,波米叔叔的前世今生,38368,tt1588895,TH,114,0,0
2022,22110,超級蜥蜴王,947049,tt21243636,TH,109,0,0
2022,22265,詭孩,660942,tt4028464,DK,117,3400000,322000
2022,19764,忍者寶寶,654074,tt13821562,NO,104,0,0
2022,20672,秋月,831031,tt8856814,CN,90,0,0
2022,19859,梅艷芳,848788,tt15010590,HK,136,10700000,0
2022,19159,怒火,513692,tt8165192,HK,125,0,205000000
2022,20822,神探大戰,543504,tt10283270,HK,102,0,105500000
2022,16476,麥路人,640092,tt10117402,HK,114,0,0
2022,7331,春光乍洩,18329,tt0118845,HK,96,125000,5000000
2022,7331,春光乍洩,18329,tt0118845,HK,96,125000,5000000
2022,20716,重慶森林 4K數位修復版,11104,tt0109424,HK,98,160000,0
2022,18149,墮落天使  4K數位修復版,11220,tt0112913,HK,98,0,0
2022,9993,阿飛正傳,18311,tt0101258,HK,94,0,3255404
2022,20763,胭脂扣,68883,tt0093258,HK,96,0,0
2022,22420,飯戲攻心,851800,tt21187542,HK,116,0,10138355
2022,22876,智齒,591222,tt14032696,HK,118,16000000,0
2022,20565,少年,436792,tt6419442,CN,0,0,0
2022,20565,少年,436792,tt6419442,CN,0,0,0
2022,20343,G風暴,814785,tt10423286,HK,93,0,55540000
2022,20702,阮玲玉,68004,tt0102816,HK,146,0,0
2022,20741,英雄本色,11471,tt0092263,HK,95,0,4469460
2022,21747,闔家辣,851798,tt17044664,HK,94,0,0
2022,10916,霸王別姬(數位修復版),10997,tt0106332,CN,171,4000000,6400000
2022,22182,媽的星寵兒,942171,tt15244854,HK,127,0,0
2022,21786,七人樂隊,537761,tt4431104,HK,112,0,0
2022,22631,憂鬱之島,924120,tt15282802,HK,97,0,0
2022,21047,邊緣行者,941132,tt18500636,HK,113,0,0
2022,20697,秋天的童話,64015,tt0093426,HK,98,0,0
2022,21801,繼園臺七號,616020,tt10687168,HK,125,0,0
2022,23391,正義迴廊,1005251,tt21867590,HK,135,0,0
2022,21812,美少年之戀,27060,tt0168496,HK,101,0,0
2022,21517,喜歡妳是妳,876189,tt15619584,HK,92,0,0
2022,22231,一路瞳行,838119,tt14071698,HK,96,0,0
2022,23317,無間道,10775,tt0338564,HK,100,6400000,8836958
2022,22085,玫瑰的故事,1325023,None,CN,0,0,0
2022,21978,流金歲月,255856,tt0095533,HK,105,0,0
2022,22435,心裏美,987446,None,HK,98,0,0
2022,21123,海上花,45935,tt0156587,JP,113,0,0
2022,23367,無間道II,11647,tt0369060,HK,119,125000,3208262
2022,23349,無間道III：終極無間,14310,tt0374339,HK,118,250000,4468597
2022,22758,流浪者之歌,861947,None,TW,45,0,0
2022,22755,卡拉之歌,2143,tt0115832,NI,105,0,0
2022,20515,時代革命,850884,tt15049118,HK,152,0,0
2022,15965,末代皇帝（數位修復版）,746,tt0093389,GB,163,23800000,44000000
2022,7689,發條橘子,185,tt0066921,US,136,2200000,27033812
2022,22525,瘋狂富作用,497828,tt7322224,SE,147,15600000,24733572
2022,21017,鯊顫,960258,tt12550376,GB,87,5000000,1824152
2022,20802,餐廳失控夜,807196,tt11127680,GB,95,0,0
2022,22117,士兵與軍官,797838,tt4061620,EE,107,0,253583
2022,20693,極限逃殺,924482,tt6805938,US,86,2500000,0
2022,22611,如果驢知道,785398,tt19652910,PL,88,0,1068353
2022,19272,算牌手,643532,tt11196036,US,111,0,5040860
2022,21906,我們的英搖時光,624793,tt5693182,GB,110,0,0
2022,20076,愛上費加洛,508444,tt7392014,AU,104,0,1073966
2022,21268,羅密歐與茱麗葉（英國國家劇院現場）,454,tt0117509,US,120,14500000,147298761
2022,18530,裸體午餐,2742,tt0102511,GB,115,16000000,2641357
2022,14480,超速性追緝,884,tt0115964,CA,100,9000000,2671855
2022,22260,性愛成癮的男人,76025,tt1723811,GB,102,6500000,3909002
2022,20827,瑪莉娜的512小時,816344,tt8523022,US,92,0,0
2022,20519,馬克白（英國皇家歌劇院）,591538,tt10095582,US,105,0,176248
2022,20519,馬克白（英國皇家歌劇院）,591538,tt10095582,US,105,0,176248
2022,11227,山那邊的青稞田,496404,tt7606796,US,115,0,0
2022,21869,偷香 數位修復版,14553,tt0117737,FR,116,10000000,4800000
2022,22880,大製片家,844176,tt10370886,US,94,0,0
2022,20291,毫無意義,42035,tt0089343,GB,110,0,0
2022,20189,蜘蛛人：無家日,634649,tt10872600,US,148,200000000,1921847111
2022,23322,阿凡達：水之道,76600,tt1630029,US,192,460000000,2320250281
2022,19885,永恆族,524434,tt9032400,US,156,200000000,402064899
2022,23049,黑豹 2：瓦干達萬歲,505642,tt9114286,US,162,250000000,859102154
2022,21054,奇異博士2：失控多重宇宙,453395,tt9419884,US,126,200000000,955775804
