tw_id,reference_year,tw_release_days,reference_year_amount,reference_year_tickets
20533,2022-01-01,1.0,38940,177
23222,2022-01-01,2.0,32967,144
6711,2022-01-01,2.0,21280,104
20675,2022-01-01,2.0,16550,85
23186,2022-01-01,14.0,15630,69
23218,2022-01-01,7.0,5625,27
20707,2022-01-01,3.0,2595,15
22738,2022-01-01,26.0,92051,447
23193,2022-01-01,1.0,11115,55
20729,2022-01-01,56.0,1013756,4377
18749,2022-01-01,27.0,47560,374
3401,2022-01-01,4.0,9740,66
19269,2022-01-01,125.0,28991006,121830
20646,2022-01-01,120.0,171754843,721528
18190,2022-01-01,47.0,132440,1159
20477,2022-01-01,167.0,73937829,309340
12489,2022-01-01,1.0,70200,260
22531,2022-01-01,72.0,37701451,166401
19183,2022-01-01,70.0,506424,3244
20670,2022-01-01,141.0,32553195,139178
21822,2022-01-01,95.0,29706996,121139
20725,2022-01-01,98.0,27732078,121166
23355,2022-01-01,6.0,26462686,106226
20175,2022-01-01,136.0,22614491,95158
19357,2022-01-01,87.0,2069031,9750
22671,2022-01-01,61.0,16397288,69700
20312,2022-01-01,54.0,5469485,22388
22659,2022-01-01,79.0,15707206,67828
21785,2022-01-01,82.0,13377446,60483
20921,2022-01-01,73.0,9163289,37726
19729,2022-01-01,76.0,3042926,13030
22082,2022-01-01,91.0,7857368,34115
20354,2022-01-01,79.0,7591904,31799
19630,2022-01-01,81.0,5507315,23664
15629,2022-01-01,1.0,22950,85
20817,2022-01-01,66.0,4834434,22026
21165,2022-01-01,47.0,4536398,19490
22268,2022-01-01,60.0,3999736,16782
21119,2022-01-01,44.0,3878689,17849
19319,2022-01-01,29.0,33280,215
19608,2022-01-01,96.0,3723457,17163
19065,2022-01-01,8.0,185140,827
19662,2022-01-01,70.0,3234992,17644
10375,2022-01-01,95.0,3065886,15266
22660,2022-01-01,43.0,2913660,12792
19402,2022-01-01,46.0,35253,327
20005,2022-01-01,35.0,998975,4751
21915,2022-01-01,63.0,2505612,11429
21233,2022-01-01,48.0,2244623,10149
20711,2022-01-01,22.0,1917168,9020
20531,2022-01-01,38.0,1913309,8047
20176,2022-01-01,49.0,1695750,7284
14496,2022-01-01,34.0,318574,1323
17116,2022-01-01,31.0,1666470,7139
20052,2022-01-01,1.0,67100,305
17799,2022-01-01,49.0,1358697,6137
20643,2022-01-01,29.0,1473791,6528
19064,2022-01-01,1.0,0,0
18755,2022-01-01,1.0,12600,60
20521,2022-01-01,34.0,1437067,6212
21174,2022-01-01,45.0,1351685,6716
19400,2022-01-01,1.0,38940,177
22108,2022-01-01,49.0,1338652,6321
21825,2022-01-01,43.0,1328119,5765
19320,2022-01-01,32.0,1285544,5604
20203,2022-01-01,77.0,1266220,5449
14720,2022-01-01,1.0,23940,133
22084,2022-01-01,40.0,1062636,5253
20051,2022-01-01,35.0,1013475,4510
18424,2022-01-01,39.0,946200,4172
16508,2022-01-01,34.0,459063,2481
19957,2022-01-01,30.0,785267,3881
20805,2022-01-01,36.0,763901,3348
21080,2022-01-01,44.0,720016,3310
18306,2022-01-01,6.0,2345,10
19987,2022-01-01,61.0,629323,2950
19122,2022-01-01,11.0,30245,138
20920,2022-01-01,52.0,558070,2650
21179,2022-01-01,40.0,518556,2272
17831,2022-01-01,6.0,410,2
20053,2022-01-01,55.0,473663,2211
17487,2022-01-01,20.0,453169,2043
18796,2022-01-01,3.0,38870,169
22372,2022-01-01,40.0,392656,1548
22011,2022-01-01,11.0,389100,1359
21748,2022-01-01,28.0,362030,2268
21200,2022-01-01,10.0,360309,1618
21239,2022-01-01,29.0,337310,2110
21921,2022-01-01,28.0,335120,2116
18531,2022-01-01,2.0,16580,64
22327,2022-01-01,28.0,303680,1900
20922,2022-01-01,35.0,302620,1893
23139,2022-01-01,4.0,288800,1169
22475,2022-01-01,9.0,268790,1263
21731,2022-01-01,14.0,217993,895
19624,2022-01-01,1.0,300,1
21690,2022-01-01,16.0,209355,1321
22908,2022-01-01,2.0,202500,915
22673,2022-01-01,3.0,181490,665
22710,2022-01-01,28.0,175962,848
22448,2022-01-01,2.0,149210,503
21171,2022-01-01,5.0,112879,401
20375,2022-01-01,64.0,60417,271
23394,2022-01-01,1.0,43500,174
20867,2022-01-01,14.0,39280,177
21087,2022-01-01,1.0,32140,119
21949,2022-01-01,3.0,31930,122
1585,2022-01-01,2.0,20875,87
20674,2022-01-01,2.0,20400,106
21943,2022-01-01,2.0,12615,55
21914,2022-01-01,2.0,11840,52
1394,2022-01-01,2.0,11590,62
1593,2022-01-01,2.0,11070,44
22080,2022-01-01,2.0,10931,43
20262,2022-01-01,2.0,10450,55
21887,2022-01-01,2.0,10261,41
21932,2022-01-01,10.0,9760,40
20853,2022-01-01,4.0,9000,60
22179,2022-01-01,2.0,8640,37
21908,2022-01-01,2.0,8445,36
1586,2022-01-01,2.0,7730,29
18618,2022-01-01,2.0,7535,42
1626,2022-01-01,2.0,5140,22
22759,2022-01-01,2.0,4830,38
5511,2022-01-01,1.0,4530,32
502,2022-01-01,1.0,3020,30
1608,2022-01-01,2.0,2945,11
22215,2022-01-01,1.0,2790,23
20270,2022-01-01,3.0,1725,10
20263,2022-01-01,3.0,1710,10
20319,2022-01-01,35.0,980173,4096
20054,2022-01-01,6.0,9710,42
20986,2022-01-01,35.0,570003,2447
21616,2022-01-01,50.0,377940,1794
22630,2022-01-01,28.0,257968,1035
20396,2022-01-01,19.0,162103,728
20747,2022-01-01,14.0,149712,645
22926,2022-01-01,13.0,56940,254
20154,2022-01-01,14.0,43176,184
22791,2022-01-01,1.0,14300,65
23190,2022-01-01,6.0,3430,15
21423,2022-01-01,7.0,2470,11
16189,2022-01-01,52.0,142225,592
11237,2022-01-01,1.0,29850,117
6215,2022-01-01,,29850,117
22707,2023-01-01,22.0,235763,1076
13290,2023-01-01,2.0,460,2
24516,2023-01-01,59.0,23535997,97750
25092,2023-01-01,56.0,19631552,77891
23147,2023-01-01,12.0,139042,598
23589,2023-01-01,11.0,10012935,15553
22239,2023-01-01,10.0,153105,485
26037,2023-01-01,59.0,7731428,30682
24714,2023-01-01,53.0,7668235,31857
21763,2023-01-01,17.0,106733,458
25160,2023-01-01,53.0,7103028,27637
26045,2023-01-01,36.0,6500095,13187
23615,2023-01-01,27.0,6429930,27190
26405,2023-01-01,17.0,5957840,23957
25311,2023-01-01,43.0,5892709,24078
25179,2023-01-01,42.0,5329025,11106
25642,2023-01-01,7.0,4090195,8606
25407,2023-01-01,42.0,3327444,13579
23960,2023-01-01,47.0,3052133,12410
26219,2023-01-01,36.0,2544103,10548
23796,2023-01-01,28.0,2529756,10198
23248,2023-01-01,15.0,56715,252
26381,2023-01-01,17.0,2465643,9937
25736,2023-01-01,42.0,2421497,9876
25351,2023-01-01,28.0,2412650,5211
26026,2023-01-01,35.0,2404910,10228
25638,2023-01-01,40.0,2340275,9510
23216,2023-01-01,6.0,4020,18
25024,2023-01-01,32.0,2261209,9390
25803,2023-01-01,35.0,2252369,9523
25588,2023-01-01,36.0,2202138,9240
25322,2023-01-01,35.0,2188721,9047
23362,2023-01-01,19.0,325630,1372
23383,2023-01-01,26.0,1918039,8064
23214,2023-01-01,23.0,57005,240
26260,2023-01-01,31.0,1850710,7575
23486,2023-01-01,24.0,1814975,7673
25494,2023-01-01,42.0,1748526,6999
26353,2023-01-01,24.0,1717163,6939
26350,2023-01-01,11.0,1676900,3207
23549,2023-01-01,27.0,1590120,2892
23587,2023-01-01,59.0,1578998,7095
24206,2023-01-01,32.0,1529973,6480
25710,2023-01-01,26.0,1106953,4565
24037,2023-01-01,26.0,1065042,4683
23786,2023-01-01,32.0,992165,4188
23856,2023-01-01,19.0,975190,4179
25829,2023-01-01,28.0,917284,3900
23586,2023-01-01,19.0,874170,3698
18516,2023-01-01,3.0,35605,144
23390,2023-01-01,33.0,233347,1000
23547,2023-01-01,32.0,717105,3063
7777,2023-01-01,29.0,110077,492
25425,2023-01-01,37.0,623739,2405
23507,2023-01-01,21.0,598525,2557
23882,2023-01-01,8.0,582900,1241
25212,2023-01-01,37.0,576007,2551
23364,2023-01-01,19.0,116305,526
8031,2023-01-01,26.0,91698,414
23199,2023-01-01,23.0,16750,286
24201,2023-01-01,28.0,453930,1946
16076,2023-01-01,2.0,1000,5
25148,2023-01-01,32.0,349112,1489
26496,2023-01-01,3.0,348279,1420
8074,2023-01-01,23.0,66964,291
23508,2023-01-01,20.0,295198,1315
24639,2023-01-01,2.0,274375,592
19240,2023-01-01,28.0,244364,1001
25242,2023-01-01,22.0,198152,888
24640,2023-01-01,2.0,184200,399
23366,2023-01-01,14.0,164581,676
25268,2023-01-01,2.0,164025,351
24542,2023-01-01,17.0,123098,573
25167,2023-01-01,20.0,113615,504
25361,2023-01-01,21.0,108025,469
25318,2023-01-01,22.0,102090,460
23645,2023-01-01,20.0,90232,409
24842,2023-01-01,19.0,86847,390
24492,2023-01-01,21.0,71688,320
23146,2023-01-01,3.0,2220,9
24312,2023-01-01,13.0,58108,267
23474,2023-01-01,14.0,53524,236
25592,2023-01-01,14.0,51682,220
25535,2023-01-01,13.0,30906,144
26212,2023-01-01,15.0,184362,827
26127,2023-01-01,10.0,77613,357
26208,2023-01-01,14.0,83701,390
23887,2023-01-01,22.0,355169,1642
21265,2023-01-01,2.0,28110,113
18110,2023-01-01,2.0,390,2
22172,2023-01-01,19.0,8030,146
24552,2023-01-01,30.0,504417,2202
25631,2023-01-01,20.0,197382,897
23290,2023-01-01,18.0,161127,745
23511,2023-01-01,25.0,157060,748
23825,2023-01-01,13.0,129075,591
25771,2023-01-01,2.0,78320,347
25284,2023-01-01,21.0,78062,358
24010,2023-01-01,15.0,59486,272
23489,2023-01-01,9.0,33962,158
20204,2023-01-01,2.0,27360,137
26389,2023-01-01,2.0,18710,91
26345,2023-01-01,2.0,14680,73
22270,2023-01-01,19.0,8470,154
26362,2023-01-01,2.0,12240,63
25305,2023-01-01,41.0,332902,1541
24951,2023-01-01,15.0,104654,438
24351,2023-01-01,33.0,2272395,9139
23727,2023-01-01,56.0,1591869,6536
18356,2023-01-01,2.0,1570,7
24638,2023-01-01,25.0,532518,2514
24255,2023-01-01,29.0,513492,2314
25397,2023-01-01,20.0,259344,1192
24883,2023-01-01,17.0,215875,980
23487,2023-01-01,14.0,152548,709
25285,2023-01-01,17.0,126913,556
24927,2023-01-01,16.0,113996,551
25537,2023-01-01,15.0,95126,451
23345,2023-01-01,43.0,87685,448
24107,2023-01-01,14.0,78358,329
23946,2023-01-01,14.0,77430,314
23565,2023-01-01,26.0,466616,2207
25827,2023-01-01,25.0,244591,1013
26481,2023-01-01,10.0,105813,435
24729,2023-01-01,34.0,310709,1377
15271,2023-01-01,1.0,1215,7
21919,2023-01-01,2.0,1660,9
24786,2023-01-01,14.0,52101,213
23721,2023-01-01,20.0,1692718,6778
23888,2023-01-01,47.0,647823,2919
23516,2023-01-01,31.0,393197,1806
25163,2023-01-01,21.0,197492,972
21659,2023-01-01,4.0,660,3
24417,2023-01-01,26.0,973022,3863
24074,2023-01-01,22.0,653753,2622
25862,2023-01-01,16.0,56044,272
25360,2023-01-01,14.0,37200,183
24551,2023-01-01,18.0,636815,2603
18785,2023-01-01,1.0,3520,22
24105,2023-01-01,81.0,918886,4771
24348,2023-01-01,39.0,354810,1613
23221,2023-01-01,14.0,157636,735
26140,2023-01-01,34.0,87389802,345807
18318,2023-01-01,14.0,59635,253
25182,2023-01-01,44.0,1416085,6027
23605,2023-01-01,23.0,372810,1929
23640,2023-01-01,22.0,311050,1508
24061,2023-01-01,14.0,240274,971
25414,2023-01-01,21.0,92932,405
23604,2023-01-01,9.0,28630,139
23630,2023-01-01,7.0,18370,88
22198,2023-01-01,29.0,169593,1013
25359,2023-01-01,16.0,121438,576
25990,2023-01-01,11.0,71604,308
25630,2023-01-01,10.0,20614,92
24311,2023-01-01,77.0,15051397,60472
3142,2023-01-01,28.0,3866313,15680
26441,2023-01-01,10.0,3872713,15692
24733,2023-01-01,30.0,2744233,10843
24915,2023-01-01,31.0,1511090,6204
26126,2023-01-01,43.0,1061471,4437
24833,2023-01-01,28.0,1030698,4192
26022,2023-01-01,23.0,496907,2206
23576,2023-01-01,19.0,458246,1777
26501,2023-01-01,3.0,194022,802
24309,2023-01-01,14.0,102831,428
25777,2023-01-01,4.0,85409,362
24384,2023-01-01,24.0,79108,346
20365,2023-01-01,2.0,1900,9
21974,2023-01-01,2.0,410,2
24350,2023-01-01,27.0,315806,1454
24840,2023-01-01,17.0,227695,1024
26471,2023-01-01,2.0,9020977,35532
24981,2023-01-01,89.0,7949663,32978
23440,2023-01-01,71.0,6205454,26703
23688,2023-01-01,73.0,3681196,16292
21732,2023-01-01,2.0,3445,16
7331,2023-01-01,4.0,45365,190
20716,2023-01-01,2.0,6120,28
18149,2023-01-01,2.0,3940,18
26033,2023-01-01,27.0,2415794,10074
24730,2023-01-01,31.0,2367842,9839
23702,2023-01-01,71.0,1903566,8291
23635,2023-01-01,87.0,1450228,6208
22876,2023-01-01,34.0,215476,959
20565,2023-01-01,3.0,40580,241
20702,2023-01-01,2.0,2905,14
24731,2023-01-01,27.0,805950,3384
23391,2023-01-01,33.0,431362,1733
26077,2023-01-01,30.0,531737,2325
23964,2023-01-01,34.0,529322,2340
20741,2023-01-01,2.0,475,3
25150,2023-01-01,42.0,517213,2481
23927,2023-01-01,42.0,493647,2216
10916,2023-01-01,3.0,3840,18
26234,2023-01-01,37.0,404499,1648
22631,2023-01-01,5.0,18040,76
21801,2023-01-01,2.0,6415,33
23965,2023-01-01,31.0,256711,1083
23623,2023-01-01,6.0,197000,788
23317,2023-01-01,14.0,126382,553
23873,2023-01-01,32.0,191342,838
24595,2023-01-01,15.0,162178,679
23385,2023-01-01,18.0,152339,651
26510,2023-01-01,1.0,145965,300
23679,2023-01-01,5.0,140000,560
23339,2023-01-01,41.0,103859,455
23367,2023-01-01,13.0,81992,358
21812,2023-01-01,1.0,1020,5
23349,2023-01-01,13.0,68526,305
23439,2023-01-01,15.0,70487,320
25984,2023-01-01,21.0,46092,175
26034,2023-01-01,14.0,43595,193
26397,2023-01-01,10.0,11798,49
24916,2023-01-01,9.0,8690,36
24106,2023-01-01,59.0,15740576,65367
15965,2023-01-01,21.0,164258,567
25045,2023-01-01,70.0,7147023,28669
23548,2023-01-01,84.0,5365709,22399
16474,2023-01-01,29.0,247393,891
22525,2023-01-01,77.0,335955,1804
23665,2023-01-01,48.0,1454186,6150
25102,2023-01-01,39.0,1442697,6206
16906,2023-01-01,2.0,1230,8
17878,2023-01-01,3.0,10865,36
16101,2023-01-01,2.0,460,4
24703,2023-01-01,45.0,964442,4314
17916,2023-01-01,1.0,74880,246
22611,2023-01-01,16.0,109524,471
24717,2023-01-01,28.0,408100,1788
23342,2023-01-01,1.0,153800,213
24111,2023-01-01,3.0,363875,627
23320,2023-01-01,18.0,214804,959
15757,2023-01-01,6.0,143320,221
20445,2023-01-01,13.0,235630,448
15653,2023-01-01,7.0,127180,199
24716,2023-01-01,8.0,212600,325
25637,2023-01-01,21.0,186546,836
23207,2023-01-01,8.0,185960,275
23699,2023-01-01,21.0,166765,750
14021,2023-01-01,4.0,16342,56
25080,2023-01-01,7.0,142520,219
25773,2023-01-01,3.0,133740,202
23885,2023-01-01,14.0,91539,401
26265,2023-01-01,2.0,82160,123
24062,2023-01-01,17.0,76834,367
25046,2023-01-01,13.0,72265,333
26277,2023-01-01,2.0,69960,106
24940,2023-01-01,13.0,58103,292
24090,2023-01-01,19.0,54278,273
25188,2023-01-01,12.0,52890,264
25894,2023-01-01,2.0,50960,81
25893,2023-01-01,13.0,46001,204
26216,2023-01-01,12.0,33410,146
26148,2023-01-01,1.0,29260,133
24734,2023-01-01,1.0,24655,107
26361,2023-01-01,2.0,29600,150
23322,2023-01-01,160.0,320072117,930975
21117,2023-01-01,68.0,1108168,3264
24868,2023-01-01,155.0,436604877,1543936
24337,2023-01-01,143.0,355167929,1336923
23924,2023-01-01,160.0,295460684,1171686
23049,2023-01-01,82.0,1588384,8945
23894,2023-01-01,91.0,227143631,849294
24917,2023-01-01,143.0,223605638,714839
24938,2023-01-01,163.0,184069330,710825
24532,2023-01-01,136.0,150572665,577639
22676,2023-01-01,49.0,313615,3663
20810,2023-01-01,16.0,12360,114
24128,2023-01-01,129.0,145357025,552729
24540,2023-01-01,113.0,135385600,512747
26399,2023-01-01,12.0,134225031,489208
23646,2023-01-01,118.0,128296867,483047
25027,2023-01-01,113.0,120816915,455573
21777,2023-01-01,34.0,127830,1041
24499,2023-01-01,136.0,107572653,396587
24784,2023-01-01,165.0,100392930,404525
23736,2023-01-01,140.0,95188533,366815
26066,2023-01-01,54.0,91487752,349622
26269,2023-01-01,27.0,80905064,301326
20828,2023-01-01,79.0,6869853,25008
26218,2023-01-01,46.0,65986984,234785
25279,2023-01-01,95.0,65489599,256396
24998,2023-01-01,109.0,58408460,214130
25278,2023-01-01,78.0,54959680,207867
5887,2023-01-01,115.0,49400294,197181
24787,2023-01-01,120.0,48402769,177853
25460,2023-01-01,94.0,48029806,197045
23393,2023-01-01,77.0,44012812,175571
26210,2023-01-01,38.0,43794020,155500
23564,2023-01-01,43.0,41669072,170208
25524,2023-01-01,67.0,34525987,127546
25090,2023-01-01,101.0,32393156,126532
23772,2023-01-01,77.0,31023318,122651
26090,2023-01-01,35.0,30198563,56504
23590,2023-01-01,38.0,28590845,117237
25428,2023-01-01,54.0,27851392,110907
25408,2023-01-01,73.0,27236143,104850
25536,2023-01-01,57.0,25657399,101214
22373,2023-01-01,12.0,5335,97
24857,2023-01-01,81.0,25069520,100640
23144,2023-01-01,113.0,18942498,79294
25816,2023-01-01,70.0,19322417,66369
26318,2023-01-01,4.0,18879208,74077
616,2023-01-01,85.0,18688919,75880
22355,2023-01-01,32.0,52487,746
24064,2023-01-01,71.0,17050768,68641
22663,2023-01-01,59.0,705076,3415
25709,2023-01-01,59.0,14292313,55354
23647,2023-01-01,1.0,12956725,48717
21837,2023-01-01,12.0,7630,70
25892,2023-01-01,63.0,12069809,47624
25060,2023-01-01,92.0,11835385,47540
24097,2023-01-01,96.0,11746811,48868
23399,2023-01-01,109.0,11308817,48123
23889,2023-01-01,98.0,10924378,44358
23614,2023-01-01,94.0,10699271,43096
24286,2023-01-01,41.0,10392161,43948
25186,2023-01-01,46.0,10233773,42228
25429,2023-01-01,78.0,10128199,41637
21582,2023-01-01,11.0,33765,135
25933,2023-01-01,35.0,9871026,41658
24866,2023-01-01,109.0,9690917,39364
23517,2023-01-01,101.0,9657911,36725
23641,2023-01-01,14.0,9588418,26190
24414,2023-01-01,35.0,9363119,39945
23155,2023-01-01,54.0,207931,2026
23855,2023-01-01,96.0,8921710,37854
24416,2023-01-01,56.0,8808222,35439
25061,2023-01-01,49.0,8697784,36142
25044,2023-01-01,73.0,8309019,33046
16636,2023-01-01,12.0,578250,1646
7858,2023-01-01,1.0,17215,73
23959,2023-01-01,91.0,7452689,30665
16091,2023-01-01,12.0,743303,2093
23153,2023-01-01,43.0,124579,1093
23014,2023-01-01,57.0,7000018,29155
23138,2023-01-01,54.0,361857,2264
23629,2023-01-01,69.0,6712193,28225
26241,2023-01-01,32.0,6457287,26636
23794,2023-01-01,61.0,6000513,24793
23705,2023-01-01,67.0,5516345,22170
22530,2023-01-01,25.0,59512,648
24782,2023-01-01,65.0,5205615,21598
26278,2023-01-01,29.0,5018429,21573
18430,2023-01-01,2.0,525,4
24493,2023-01-01,72.0,4710727,19087
22195,2023-01-01,12.0,7267,63
26075,2023-01-01,42.0,4446212,18139
22652,2023-01-01,19.0,8745,159
22924,2023-01-01,55.0,127305,1102
25493,2023-01-01,72.0,3879335,16001
23321,2023-01-01,62.0,2367237,10778
22476,2023-01-01,20.0,22800,307
24597,2023-01-01,52.0,3734103,15065
22242,2023-01-01,12.0,4340,37
23588,2023-01-01,49.0,3435888,14476
23400,2023-01-01,79.0,3405866,14134
26513,2023-01-01,3.0,3278636,12703
23426,2023-01-01,31.0,3218465,13758
24496,2023-01-01,35.0,3201144,13361
22649,2023-01-01,70.0,3025647,13017
26229,2023-01-01,38.0,2728956,11358
26305,2023-01-01,25.0,2679846,10975
23613,2023-01-01,56.0,2571002,11420
24189,2023-01-01,28.0,2367420,10432
25800,2023-01-01,27.0,2328879,9483
24467,2023-01-01,52.0,2287853,10103
23711,2023-01-01,22.0,2201229,9735
26450,2023-01-01,8.0,2086473,3950
24870,2023-01-01,21.0,1786263,7104
23536,2023-01-01,63.0,1781034,7438
24970,2023-01-01,20.0,1694840,7036
25393,2023-01-01,24.0,1675820,7436
24046,2023-01-01,37.0,1653627,6186
25141,2023-01-01,42.0,1518954,6162
23651,2023-01-01,20.0,1483770,6009
23084,2023-01-01,20.0,9845,179
25211,2023-01-01,41.0,1321079,4948
26192,2023-01-01,34.0,1157213,4780
22709,2023-01-01,53.0,1034087,4998
24637,2023-01-01,27.0,1018738,4475
25985,2023-01-01,27.0,983747,4304
26267,2023-01-01,27.0,946303,4134
25349,2023-01-01,42.0,895691,3700
24252,2023-01-01,23.0,848374,3529
6252,2023-01-01,3.0,83555,364
25340,2023-01-01,35.0,770320,3187
23311,2023-01-01,75.0,357960,2040
26339,2023-01-01,10.0,673228,2944
23284,2023-01-01,42.0,667279,2871
23771,2023-01-01,18.0,515189,2162
23752,2023-01-01,28.0,511363,2236
24259,2023-01-01,73.0,442112,2370
23687,2023-01-01,26.0,421806,1890
26038,2023-01-01,29.0,412375,1795
23861,2023-01-01,29.0,387720,1827
23661,2023-01-01,20.0,309112,1307
22678,2023-01-01,21.0,298261,1350
23947,2023-01-01,27.0,294758,1317
9159,2023-01-01,21.0,121888,521
24034,2023-01-01,24.0,230224,933
25321,2023-01-01,58.0,226218,1505
25178,2023-01-01,28.0,224694,913
24662,2023-01-01,20.0,220551,954
23713,2023-01-01,24.0,210402,856
23787,2023-01-01,23.0,179200,750
25772,2023-01-01,24.0,142656,645
23839,2023-01-01,7.0,139400,210
23234,2023-01-01,9.0,139030,208
25993,2023-01-01,19.0,130633,541
23437,2023-01-01,14.0,129485,619
23572,2023-01-01,1.0,127675,272
23415,2023-01-01,13.0,121219,528
26213,2023-01-01,15.0,118765,453
23797,2023-01-01,8.0,87880,139
25729,2023-01-01,20.0,87160,360
8985,2023-01-01,3.0,39600,197
24881,2023-01-01,15.0,75576,354
25086,2023-01-01,17.0,73302,307
24841,2023-01-01,14.0,70826,340
25801,2023-01-01,22.0,69172,288
25187,2023-01-01,15.0,65903,285
26324,2023-01-01,16.0,61721,263
24661,2023-01-01,18.0,60951,262
20138,2023-01-01,19.0,59661,269
25070,2023-01-01,9.0,51774,238
23892,2023-01-01,14.0,47981,205
24377,2023-01-01,14.0,47782,219
23652,2023-01-01,15.0,46019,204
21035,2023-01-01,11.0,2680,22
25175,2023-01-01,1.0,37210,131
21038,2023-01-01,13.0,2640,21
21040,2023-01-01,12.0,3720,33
21039,2023-01-01,10.0,1675,20
21041,2023-01-01,11.0,2280,20
21036,2023-01-01,11.0,2360,21
23288,2023-01-01,16.0,5240,46
21037,2023-01-01,11.0,1440,13
23287,2023-01-01,19.0,2595,30
24256,2023-01-01,14.0,78315,367
1691,2023-01-01,5.0,28385,114
25040,2023-01-01,67.0,2676029,12081
24880,2023-01-01,38.0,2197414,9523
23704,2023-01-01,64.0,2156432,9284
25344,2023-01-01,37.0,1131494,4723
23838,2023-01-01,31.0,747802,3562
23462,2023-01-01,25.0,281075,1378
22524,2023-01-01,33.0,85188,712
18826,2023-01-01,3.0,2770,15
20457,2023-01-01,8.0,1700,7
24253,2023-01-01,17.0,148229,681
25343,2023-01-01,4.0,36870,189
24490,2023-01-01,3.0,28770,172
15103,2023-01-01,2.0,36930,154
26257,2023-01-01,4.0,3049079,12027
6210,2023-01-01,2.0,53560,227
23376,2023-01-01,49.0,996449,4281
21995,2023-01-01,22.0,27264,176
2813,2023-01-01,4.0,1290,6
24073,2023-01-01,25.0,882812,3814
25764,2023-01-01,43.0,820718,3525
23859,2023-01-01,37.0,804070,3390
2815,2023-01-01,2.0,280,1
2814,2023-01-01,3.0,1186,6
24284,2023-01-01,83.0,667730,3495
5183,2023-01-01,1.0,37900,161
17412,2023-01-01,2.0,870,4
23550,2023-01-01,24.0,604006,2529
20943,2023-01-01,1.0,3845,20
24095,2023-01-01,70.0,466353,2162
23837,2023-01-01,32.0,409399,1898
23712,2023-01-01,25.0,359700,1225
25828,2023-01-01,14.0,357516,1544
23375,2023-01-01,25.0,265791,1211
7310,2023-01-01,1.0,4470,19
24117,2023-01-01,51.0,342246,1774
23933,2023-01-01,25.0,330024,1569
25413,2023-01-01,26.0,319322,1476
15218,2023-01-01,3.0,4917,16
24522,2023-01-01,30.0,305589,1363
25461,2023-01-01,28.0,263531,1251
23827,2023-01-01,22.0,237766,1036
2224,2023-01-01,3.0,16960,78
23420,2023-01-01,21.0,229361,1010
25042,2023-01-01,24.0,224071,983
23945,2023-01-01,33.0,219153,1009
23872,2023-01-01,28.0,213948,944
26368,2023-01-01,17.0,202104,736
23666,2023-01-01,27.0,194642,910
25352,2023-01-01,26.0,189363,920
23857,2023-01-01,15.0,184785,834
24063,2023-01-01,31.0,183432,842
23546,2023-01-01,17.0,175261,831
23660,2023-01-01,22.0,168533,766
23265,2023-01-01,36.0,25230,249
26247,2023-01-01,14.0,156968,686
24573,2023-01-01,22.0,152161,716
25423,2023-01-01,22.0,145742,667
23792,2023-01-01,20.0,137147,660
23493,2023-01-01,19.0,129555,601
26382,2023-01-01,3.0,122779,529
22715,2023-01-01,16.0,113556,530
25983,2023-01-01,4.0,113468,488
20963,2023-01-01,2.0,590,3
25323,2023-01-01,17.0,105429,496
22740,2023-01-01,42.0,36199,550
25745,2023-01-01,10.0,100740,476
25118,2023-01-01,17.0,99248,415
23904,2023-01-01,18.0,97009,472
23785,2023-01-01,19.0,96847,469
26266,2023-01-01,10.0,92555,420
24313,2023-01-01,22.0,91035,447
23392,2023-01-01,8.0,81703,350
23932,2023-01-01,14.0,81517,379
24072,2023-01-01,12.0,78577,364
23285,2023-01-01,19.0,68284,281
24871,2023-01-01,10.0,50124,218
25246,2023-01-01,20.0,49536,230
4395,2023-01-01,4.0,47990,237
7634,2023-01-01,4.0,42300,207
25763,2023-01-01,18.0,39890,186
7635,2023-01-01,4.0,37780,189
24032,2023-01-01,3.0,33520,165
24488,2023-01-01,3.0,32620,188
25342,2023-01-01,3.0,28350,142
19736,2023-01-01,2.0,27340,160
24485,2023-01-01,2.0,26420,159
24484,2023-01-01,2.0,26300,140
24486,2023-01-01,2.0,25380,150
26367,2023-01-01,3.0,18920,96
24483,2023-01-01,2.0,18360,108
23897,2023-01-01,9.0,15800,84
23957,2023-01-01,2.0,7630,38
18751,2023-01-01,5.0,1460,7
18814,2023-01-01,2.0,1120,5
18815,2023-01-01,2.0,930,4
18848,2023-01-01,2.0,480,2
25591,2023-01-01,25.0,248866,1097
23858,2023-01-01,35.0,2271013,8996
24498,2023-01-01,21.0,704338,2833
25130,2023-01-01,21.0,356760,1575
23754,2023-01-01,23.0,315513,1527
26214,2023-01-01,24.0,277728,1218
23198,2023-01-01,14.0,44448,203
16868,2023-01-01,4.0,10176,35
26092,2023-01-01,17.0,101777,478
25101,2023-01-01,14.0,92552,380
26349,2023-01-01,17.0,92290,613
24213,2023-01-01,18.0,72528,330
24051,2023-01-01,20.0,68867,304
24859,2023-01-01,12.0,58069,286
23560,2023-01-01,14.0,48333,213
23188,2023-01-01,52.0,124456,1373
23828,2023-01-01,30.0,335456,1418
24494,2023-01-01,25.0,233822,1107
20903,2023-01-01,7.0,2340,13
26150,2023-01-01,32.0,8783295,35591
23338,2023-01-01,41.0,2671631,10942
24260,2023-01-01,40.0,2200671,9031
