tw_id,reference_year,tw_release_days,reference_year_amount,reference_year_tickets
20702,2022-01-01,35.0,682100,2736
20741,2022-01-01,34.0,526532,2291
21747,2022-01-01,46.0,504321,2171
10916,2022-01-01,34.0,489144,2082
22182,2022-01-01,63.0,456510,1906
21786,2022-01-01,44.0,369674,1641
22631,2022-01-01,17.0,345803,1573
21047,2022-01-01,27.0,303724,1288
20697,2022-01-01,27.0,287028,1226
21801,2022-01-01,22.0,261247,887
23391,2022-01-01,4.0,170009,701
21812,2022-01-01,18.0,99692,413
21517,2022-01-01,19.0,82398,354
22231,2022-01-01,16.0,80202,361
23317,2022-01-01,3.0,70614,291
22434,2022-01-01,14.0,69773,302
22085,2022-01-01,14.0,67090,291
21978,2022-01-01,4.0,48220,209
22435,2022-01-01,19.0,46582,210
20671,2022-01-01,3.0,44020,225
21123,2022-01-01,14.0,33942,148
20673,2022-01-01,2.0,31480,159
23367,2022-01-01,2.0,23461,103
23349,2022-01-01,2.0,16628,76
23339,2022-01-01,1.0,12770,58
20410,2022-01-01,7.0,5470,25
22758,2022-01-01,3.0,22290,147
22755,2022-01-01,3.0,8760,65
20515,2022-01-01,96.0,27719793,111265
15965,2022-01-01,1.0,3210,14
21389,2022-01-01,37.0,3332467,13867
7689,2022-01-01,35.0,911526,3585
22525,2022-01-01,24.0,2004686,8438
21017,2022-01-01,83.0,911199,4588
20802,2022-01-01,70.0,755164,3587
22117,2022-01-01,35.0,716392,3100
21312,2022-01-01,22.0,587880,847
20693,2022-01-01,21.0,575423,2567
22611,2022-01-01,25.0,494263,2089
19272,2022-01-01,14.0,25810,215
21758,2022-01-01,47.0,421787,1708
21906,2022-01-01,38.0,364501,1502
20076,2022-01-01,27.0,82735,400
21268,2022-01-01,20.0,316200,471
18530,2022-01-01,4.0,1160,6
23342,2022-01-01,4.0,237720,329
14480,2022-01-01,3.0,1290,5
21515,2022-01-01,19.0,202260,313
22260,2022-01-01,26.0,201400,888
22407,2022-01-01,26.0,165972,710
14021,2022-01-01,18.0,137605,621
20827,2022-01-01,18.0,101235,449
20418,2022-01-01,12.0,83520,120
20519,2022-01-01,13.0,78330,118
11227,2022-01-01,1.0,800,4
23320,2022-01-01,2.0,59369,273
21869,2022-01-01,23.0,50972,258
20337,2022-01-01,11.0,48400,71
22880,2022-01-01,23.0,28641,136
20291,2022-01-01,4.0,8730,44
20293,2022-01-01,4.0,8265,42
20292,2022-01-01,4.0,7530,38
20290,2022-01-01,4.0,6695,34
