tmdb_id,tmdb_title,country_name,theater_release,streaming_release
1021860,人體動物圖鑑：烏龜的殼其實是肋骨,韓國,2024-06-01,
1022108,他馬克老闆,台灣,2023-09-28,2024-02-02
1022830,一直一直都很喜歡你,台灣,2023-06-30,
1022862,詐團圓,台灣,2023-01-20,2023-05-13
1024298,舌尖上的禪,日本,2022-11-11,
1024298,舌尖上的禪,台灣,2023-01-19,
1024298,舌尖上的禪,韓國,2023-10-18,
1024541,承諾大海的老師,澳洲,2024-07-25,
1024546,俠探特攻：全面追緝,台灣,2022-11-25,
1024546,俠探特攻：全面追緝,韓國,2023-02-08,
1024773,印咒：畢舍遮,法國,2023-09-06,
1024773,印咒：畢舍遮,台灣,2023-09-22,
1024773,印咒：畢舍遮,美國,2023-09-22,2023-10-10
1025086,你在我心上,台灣,2022-10-21,2023-02-03
1025301,鴉色刑事組電影版,日本,2023-01-13,
1025301,鴉色刑事組電影版,韓國,2024-09-16,
1025309,關於，半夜夢見林默娘乘著海湧把垃圾全丟進我的未來這件塑，好像是真的,台灣,2022-09-16,
1026182,孫行者傳,台灣,2022-10-14,
1026227,我們還有明天,法國,2024-03-13,
1026227,我們還有明天,台灣,2024-08-30,
1026227,我們還有明天,澳洲,2024-10-31,
1026227,我們還有明天,美國,2025-03-07,
1026301,革命＋1,日本,2022-12-24,
1026436,師情化慾,台灣,2024-03-01,
1027073,罪惡對決,美國,2024-03-29,2024-04-16
1027073,罪惡對決,韓國,2024-09-04,
1027273,愛是自私,日本,2023-02-10,
1027273,愛是自私,台灣,2023-04-21,
1027273,愛是自私,韓國,2023-07-26,
1027273,愛是自私,法國,2025-05-07,
1027588,乒乓男孩,台灣,2024-10-25,
1027982,富都青年,台灣,2023-12-01,2024-06-14
1028684,禍亂：地下秩序,韓國,2023-10-11,
1028684,禍亂：地下秩序,台灣,2023-11-03,
1028684,禍亂：地下秩序,法國,2024-04-17,
1029168,白日青春,台灣,2023-03-31,
1029168,白日青春,日本,2024-01-26,
1029178,芽籠,台灣,2023-09-22,2023-11-03
1029179,九槍,台灣,2023-09-01,
1029244,破浪男女,台灣,2024-06-28,2025-01-24
1029475,快一秒的他,日本,2023-07-07,
1029475,快一秒的他,台灣,2023-09-01,
1029475,快一秒的他,韓國,2024-06-19,
1029479,名偵探神助理：黃金螺旋之謎,日本,2023-03-31,
1029484,千輝同學未免甜得過火,日本,2023-03-03,
1029484,千輝同學未免甜得過火,台灣,2023-08-18,
1029486,湯道,日本,2023-02-23,
1029486,湯道,台灣,2023-05-12,
1029621,#人孔,台灣,2023-08-04,
1030205,來自雪國的遺書,日本,2022-12-09,
1030205,來自雪國的遺書,台灣,2023-08-18,
