movie_id,id
626872,20738
626872,25002
626872,20737
626872,110388
626872,1296713
736820,544107
736820,84996
736820,1252045
736820,82093
736820,1989290
774548,1222330
774548,1095818
774548,1715383
774548,564844
774548,1374543
821153,1257601
821153,1330446
821153,2370779
821153,1834243
821153,1385609
615173,2896274
615173,1134684
615173,1882314
615173,1299287
615173,1520280
736732,20738
736732,83014
736732,21688
736732,1252318
736732,1701993
619803,1024395
619803,2035488
619803,1418581
619803,1078674
619803,1332468
601796,1530733
601796,1257671
601796,1537768
601796,932821
601796,37939
799379,1255411
799379,1713025
799379,1872629
799379,1252017
799379,150697
727340,73249
727340,17120
727340,150126
727340,1388365
727340,2791233
993885,3212104
993885,2885448
993885,3417158
993885,3096717
993885,3457656
705996,38280
705996,21687
705996,1244822
705996,1257601
705996,17124
606403,1442583
606403,1347175
606403,1299516
606403,2084416
606403,2306987
634595,932821
634595,28662
634595,1523043
634595,2485848
634595,1552970
946615,1897256
946615,1897257
946615,1897258
946615,1625880
946615,1897260
633374,141548
633374,1459772
633374,553237
633374,1044800
633374,141541
629028,1255413
629028,1716008
629028,1856377
629028,1765534
629028,1607301
588108,21687
588108,1337780
588108,17121
588108,1015873
588108,2159394
806128,1530733
806128,84996
806128,240081
806128,551171
806128,1694435
1038198,2097348
1038198,2097334
1038198,2097350
1038198,2097346
1038198,2097347
717090,1024395
717090,79578
717090,1349163
717090,1607301
717090,1299473
877260,75914
877260,573792
877260,2278760
877260,1179570
877260,4842678
938008,63438
938008,3439595
938008,1624033
938008,2452392
938008,1113060
602295,1257592
602295,17124
602295,1329984
602295,1128004
602295,1078674
491584,572225
491584,215055
491584,1937533
491584,2043067
491584,1703282
821661,1010877
821661,1238592
821661,1257899
821661,1350000
821661,1252045
882580,1473841
882580,4259
882580,2455171
882580,2218708
882580,1332468
962489,1207629
962489,2185341
962489,2214888
962489,2935390
962489,3104322
610321,138336
610321,1255881
610321,93999
610321,1564168
610321,1694435
616670,227638
616670,37939
616670,1834243
616670,1988291
616670,2270672
718289,1244822
718289,1077269
718289,1755036
718289,1694435
718289,141857
731684,69378
731684,1716008
731684,560081
731684,75914
731684,1530559
795276,980225
795276,84788
795276,560081
795276,1591370
795276,1295461
577205,2088068
577205,2088072
577205,1831725
628802,64880
628802,2455171
628802,1292971
628802,564844
628802,1984373
630217,1134685
630217,1916075
630217,1388365
630217,572182
630217,2133923
626129,1263930
626129,25004
626129,588209
626129,1988598
626129,2313835
573787,85008
573787,115290
573787,1336804
573787,1566012
573787,1277308
958937,146114
958937,3229192
958937,1239245
958937,2199863
958937,1207629
743814,1346848
743814,2079947
743814,551171
743814,552072
743814,3441296
817557,1299516
817557,980225
817557,86330
817557,231476
817557,1856377
581390,85008
581390,1337780
581390,1572354
581390,1386418
581390,2101538
840528,1254424
840528,2604508
840528,1252955
840528,1654631
795797,2288848
795797,2973301
795797,232034
795797,1106129
795797,64454
817480,1255801
817480,1454804
817480,3312256
817480,3312258
817480,2621979
589713,1346848
589713,123820
589713,1252318
589713,1425274
589713,2042978
820517,588209
820517,1887586
820517,554945
820517,2288848
820517,1374555
928713,588209
928713,123664
928713,564849
928713,2973301
928713,554945
743475,2886237
743475,2886238
743475,560079
743475,2752568
934207,103390
934207,3407602
934207,2101968
934207,1759490
934207,2611199
889507,3326960
889507,3326961
889507,3326962
575764,3113066
575764,3113067
575764,3113068
575764,3113069
575764,3113070
681260,1439969
681260,2309880
681260,2159489
681260,79692
681260,1779883
789910,2094251
789910,2316734
789910,2576659
934957,199486
934957,23524
934957,229400
934957,239793
934957,1245709
955644,1535053
955644,1253190
955644,1900234
955644,2746828
955644,3040744
567927,42930
567927,1164934
567927,133264
567927,1295654
567927,40501
620498,684
620498,1111158
620498,1075020
620498,20266
620498,1815172
795813,7827
795813,221018
795813,7152
795813,5853
795813,225233
681349,3872
681349,15486
681349,1295654
681349,1328488
681349,1080195
871530,5649
871530,1859
871530,55882
871530,17373
871530,1253977
852457,3319869
852457,3319870
852457,3068939
852457,1867407
852457,3476977
739323,2761814
739323,3199078
739323,3199079
739323,2897490
739323,3199080
607442,931999
607442,562363
607442,1629556
607442,1955049
607442,1265054
546630,104243
546630,16808
546630,146057
546630,6263
546630,67546
776542,40501
776542,15480
776542,2918039
776542,1432056
776542,1274229
104,679
104,677
104,1081
104,1082
104,1083
608980,67323
608980,59270
608980,128748
608980,73475
608980,1570257
612491,1395660
612491,69489
612491,1123262
612491,131624
612491,1482131
47060,65354
47060,71171
47060,150345
47060,150475
47060,150474
654344,2166
654344,82923
654344,1589101
654344,1605204
654344,5683
752616,931963
752616,79291
592695,2280178
592695,1908347
592695,139422
592695,1903886
592695,1202732
655738,238512
655738,238513
655738,238511
749136,3638804
749136,3791479
749136,3791494
749136,3791490
749136,3791484
517815,50293
517815,1463229
517815,54948
517815,1583269
517815,1846
835975,1285450
835975,40526
835975,1576708
835975,1784461
835975,1294450
760522,2978947
760522,1595665
760522,2842928
760522,2978945
760522,2978946
930478,2296513
930478,3397335
930478,1043250
930478,3397341
930478,3397342
947890,1450858
947890,2413141
947890,2301772
947890,1878202
893030,4467117
893030,4467118
893030,4467119
893030,4467120
893030,4467121
717694,1421792
717694,2692286
717694,10727
717694,553063
717694,1573859
795815,2992499
795815,2992500
795815,2973356
795815,1762877
795815,2992501
588890,2143522
588890,1247355
588890,544276
588890,83878
588890,97192
725133,96381
725133,30737
725133,97193
725133,229680
725133,136806
796151,3111695
796151,856126
796151,1197916
796151,562217
796151,168165
588921,2907001
588921,554413
588921,7572
588921,1346997
588921,1305667
763539,1214551
763539,67940
763539,1137368
763539,1960184
763539,111526
913760,3192676
913760,3218149
913760,1624799
913760,3487349
913760,3487350
810406,2595502
810406,2595500
810406,2073908
810406,2073909
810406,2653295
939879,2424462
939879,2162309
939879,3246083
939879,2668035
939879,3606502
947514,1872288
947514,2131509
947514,2430105
947514,76477
947514,3514165
949697,1292043
949697,2763423
949697,1051833
949697,1027750
949697,3389839
937743,3467560
937743,1343666
937743,1832785
937743,2674888
937743,3186387
922378,931444
922378,2262810
922378,2100736
922378,1259493
922378,3627553
511819,3063
511819,2126734
511819,1603
511819,2893050
511819,1919397
38368,557875
38368,120258
38368,69758
38368,557876
38368,1498159
947049,1343178
947049,3214177
947049,1956192
947049,2879536
947049,1191895
660942,2946554
660942,2946555
660942,2946556
660942,2946557
660942,79331
654074,2079854
654074,1719168
654074,74721
654074,2476955
654074,1840963
831031,1349186
831031,1398032
848788,3164683
848788,2217481
848788,1638505
848788,78875
848788,83820
513692,1341
513692,70106
513692,1018709
513692,78877
513692,80374
543504,940339
543504,89409
543504,64434
543504,1183237
543504,110845
640092,21908
640092,148886
640092,56863
640092,118350
640092,1035980
18329,1337
18329,69637
18329,1622
18329,133825
11104,43661
11104,56830
11104,1337
11104,12671
11104,119875
11220,66761
11220,66762
11220,43661
11220,57831
11220,56816
18311,69637
18311,25246
18311,1338
18311,12672
18311,25245
68883,44917
68883,69637
68883,148886
68883,69638
68883,227780
851800,110847
851800,1202564
851800,2557400
851800,78252
851800,1286615
591222,83820
591222,1397017
591222,543138
591222,234641
591222,1143687
436792,1672870
436792,116636
436792,27084
436792,1174685
436792,146098
814785,78875
814785,1140044
814785,144860
814785,230777
814785,21912
68004,122818
68004,1338
68004,12672
68004,56861
68004,1081494
11471,69636
11471,1619
11471,69637
11471,69638
11471,25249
851798,3140188
851798,78257
851798,65938
851798,88495
851798,1813253
10997,69637
10997,65277
10997,643
10997,67765
10997,109436
942171,70590
942171,3185076
942171,3438780
942171,1266156
942171,137143
537761,986480
537761,62410
537761,63584
537761,130605
537761,1561554
941132,64496
941132,20519
941132,21914
941132,80374
941132,1222249
64015,1619
64015,102880
64015,224930
64015,1140989
64015,1575171
616020,26739
616020,77304
616020,2363304
616020,2372932
616020,1036634
1005251,3202177
1005251,3202180
1005251,1222763
1005251,68562
1005251,230776
27060,74192
27060,64436
27060,21911
27060,74196
27060,96857
876189,1674433
876189,2595841
876189,1537551
876189,987587
876189,268708
838119,84205
838119,932680
838119,1187932
838119,3196478
838119,3243219
10775,1337
10775,25246
10775,26724
10775,66717
10775,72730
255856,102880
255856,1338
255856,58665
255856,10885
255856,56804
987446,2067022
987446,1690917
987446,1187932
987446,87944
987446,3035681
45935,1337
45935,148351
45935,12672
45935,56816
45935,1174366
11647,78869
11647,20372
11647,63584
11647,26724
11647,12672
14310,25246
14310,1337
14310,66761
14310,1340
14310,66717
2143,18023
2143,21977
2143,349
2143,21978
2143,21979
850884,3574269
850884,2340766
850884,3735681
746,11389
746,6720
746,11390
746,11394
746,11395
185,56890
185,2264
185,2272
185,2267
185,2268
497828,1716493
497828,1187068
497828,57755
497828,1513304
497828,31960
960258,1383391
960258,3498314
960258,3498317
960258,2992825
960258,3498318
807196,1115
807196,21679
807196,1850839
807196,973
807196,1252521
797838,1361963
797838,2981292
797838,1724253
797838,3291124
797838,137792
924482,1197948
924482,1866221
924482,1414117
924482,2931841
924482,1173231
785398,1873160
785398,17882
785398,1526594
785398,1482162
785398,3511048
643532,25072
643532,1230868
643532,1034681
643532,5293
643532,1723573
624793,1125
624793,1325961
624793,129825
624793,1007679
624793,1400708
508444,1203789
508444,1206337
508444,34901
508444,1600616
508444,480
454,6193
454,6194
454,17772
454,6198
454,6197
2742,27811
2742,351
2742,65
2742,6104
2742,6355
884,13548
884,18686
884,13550
884,13549
884,2165
76025,17288
76025,36662
76025,18473
76025,87243
76025,1141384
816344,1060565
591538,5292
591538,3910
591538,178634
591538,216425
591538,2039
496404,1953927
496404,1953928
496404,1953929
496404,1953930
14553,882
14553,11281
14553,16940
14553,973
14553,12763
844176,1061561
844176,3056
844176,3063
844176,26513
42035,135792
42035,9207
42035,3150
42035,2048
42035,68301
634649,1136406
634649,505710
634649,71580
634649,1649152
634649,15277
76600,65731
76600,8691
76600,10205
76600,32747
76600,204
524434,97576
524434,512991
524434,11701
524434,3136
524434,466505
505642,1083010
505642,87265
505642,1267329
505642,82104
505642,1447932
453395,71580
453395,1912381
453395,550843
453395,5294
453395,30082
616037,74568
616037,524
616037,3894
616037,62561
616037,55934
476669,5469
476669,59620
476669,7026
476669,1247
476669,2441
580489,2524
580489,57755
580489,1812
580489,2038
580489,81316
438631,1190668
438631,933238
438631,25072
438631,117642
438631,1640
566525,1489211
566525,1337
566525,1625558
566525,2282
566525,2979464
436270,18918
436270,83860
436270,1253353
436270,164945
436270,2042690
414906,11288
414906,37153
414906,2954
414906,72466
414906,17142
338953,37632
338953,9642
338953,1019
338953,132157
338953,58873
718930,287
718930,125025
718930,27428
718930,226366
718930,1658375
335787,1136406
335787,13240
335787,1163789
335787,1859934
335787,3131
550988,10859
550988,1388593
550988,1467219
550988,1488961
550988,929511
545611,1620
545611,1381186
545611,690
545611,20904
545611,8944
624860,6384
624860,530
624860,1639847
624860,221611
624860,1202689
406759,4587
406759,17178
406759,1010135
406759,1440574
406759,2225985
460458,115150
460458,1408809
460458,1223726
460458,1017294
460458,212934
526896,7499
526896,136532
526896,1371297
526896,15440
526896,8169
