id,imdb_id,origin_country_first,runtime,budget,revenue
438631,tt1160419,US,155,165000000,407573628
566525,tt9376612,US,132,150000000,432243292
436270,tt6443346,US,125,200000000,393452111
414906,tt1877830,US,176,185000000,772319315
338953,tt4123432,US,142,200000000,407200000
718930,tt12593682,US,126,90000000,239300000
335787,tt1464335,US,116,120000000,407141258
550988,tt6264654,US,115,110000000,331526598
545611,tt6710474,US,140,25000000,139200000
624860,tt10838180,US,147,190000000,156497322
406759,tt5834426,US,131,146000000,67319703
460458,tt6920084,US,107,25000000,41914915
526896,tt5108870,US,104,75000000,167635712
497698,tt3480822,US,134,200000000,379751131
718789,tt10298810,US,105,200000000,226425420
505026,tt7657566,US,127,90000000,137307235
568124,tt2953050,US,102,135000000,261289554
882598,tt15474916,US,116,17000000,217408513
438695,tt6467266,US,110,85000000,408402685
752623,tt13320622,US,112,74000000,192907684
616037,tt10648342,US,119,250000000,760900000
763285,tt4998632,US,136,40000000,52303589
760161,tt11851548,CA,99,10000000,9572765
644495,tt11214590,US,157,75000000,153235995
629542,tt8115900,US,100,80000000,250162278
675445,tt11832046,US,86,26000000,144327371
800939,tt14109724,US,104,20000000,168800000
675353,tt12412888,US,125,110000000,405421518
593643,tt9764362,US,107,35000000,79628200
423108,tt7069210,US,111,39000000,206431050
19995,tt0499549,US,162,237000000,2923706026
539681,tt8912936,US,105,90000000,203000000
634528,tt6902332,US,107,23000000,23076711
508943,tt12801262,US,95,200000000,51074773
597208,tt7740496,US,150,60000000,39629195
542178,tt8847712,US,103,25000000,46333545
459151,tt6932874,US,107,82000000,146745280
985939,tt15325794,US,102,3000000,17363261
522931,tt8385148,US,99,70000000,70060492
653851,tt7693316,US,139,90000000,20000000
823625,tt14060094,AU,104,43000000,15902207
585216,tt9844522,US,88,15000000,65774490
619778,tt3811906,US,111,40000000,34891791
676547,tt9271672,US,93,0,37655699
756999,tt7144666,US,103,16000000,161440742
648579,tt11291274,US,107,30000000,29116320
398818,tt5726616,US,132,3500000,43143046
671,tt0241527,GB,152,125000000,976475550
482373,tt6246322,US,98,15000000,53785551
646207,tt3758814,CA,109,0,7502846
899112,tt12003946,US,111,20000000,75734910
522016,tt8356942,US,122,75000000,55700000
482321,tt7504818,US,107,0,60692022
877269,tt10298840,US,102,180000000,73621640
646385,tt11245972,US,114,24000000,137743924
576845,tt9639470,GB,117,43000000,22957625
614917,tt9620288,US,138,50000000,39400000
682507,tt9411972,US,126,24000000,144353965
