movie_id,id
626872,1059129
736820,980218
774548,548068
821153,552154
615173,557736
736732,25645
619803,2376041
601796,119337
799379,1294527
727340,73249
993885,3457652
705996,10099
606403,1023610
634595,84749
946615,3140690
633374,1565972
629028,2405028
588108,1049134
806128,3001949
1038198,3815825
717090,2132020
877260,2504743
938008,2204473
602295,548652
491584,96657
821661,63429
882580,1072375
962489,1619433
610321,145376
616670,1707304
718289,1294510
731684,1265918
795276,240016
577205,2085263
577205,2085264
628802,565392
630217,230360
626129,2448983
573787,1293686
958937,2523822
743814,548666
817557,1334911
581390,126809
840528,2648776
795797,150975
817480,3312260
589713,1066215
820517,150975
928713,150975
743475,2441844
934207,1455815
934207,2101968
889507,96449
575764,285104
681260,1779883
681260,1304466
789910,2446058
934957,2240093
955644,116736
955644,3483989
567927,28523
620498,32958
795813,22686
681349,3872
871530,46680
852457,1119419
739323,1992140
607442,1270757
546630,104243
776542,1185850
104,1071
608980,69488
612491,225160
47060,71174
654344,2166
752616,2812831
592695,1202063
655738,224591
749136,1855522
517815,1145841
517815,2021634
835975,1091974
760522,3126678
930478,2428652
947890,1264876
893030,3293749
717694,1180660
795815,1427205
588890,223657
588890,1664690
725133,138797
796151,1197916
588921,2267529
588921,57810
763539,146922
913760,1040793
810406,2451192
810406,2770699
810406,3028833
939879,2415585
939879,3452577
939879,3452586
947514,3467504
947514,3467507
949697,3466273
949697,1286081
937743,1651297
922378,1678442
511819,69759
38368,69759
947049,3466273
947049,3631267
660942,444892
654074,1421849
831031,3095085
848788,1144405
513692,70109
543504,58052
640092,2434741
18329,12453
11104,12453
11220,12453
18311,12453
68883,96861
851800,2067023
591222,93991
436792,118734
814785,141503
68004,96861
11471,11401
851798,3162624
10997,20640
942171,999463
537761,62410
537761,123199
537761,26767
537761,25236
537761,26760
537761,18899
537761,71063
924120,1730474
941132,1135709
64015,103602
616020,96856
1005251,3639307
27060,96856
876189,3246960
876189,2566143
838119,1393213
10775,66718
10775,65994
255856,96856
987446,3447341
45935,64992
11647,66718
11647,65994
14310,65994
14310,66718
861947,3199825
2143,15488
850884,1277754
746,4956
185,240
497828,56370
960258,1088096
807196,191750
797838,1943403
924482,572295
785398,43553
643532,1035
624793,975
508444,168330
454,6201
2742,224
884,224
76025,72757
816344,1405878
816344,3044062
591538,1223
496404,1953918
14553,4956
844176,1061561
42035,14132
634649,1293994
76600,2710
524434,1395183
505642,1056121
453395,7623
616037,55934
476669,957
580489,1333
438631,137427
566525,1144604
436270,59521
414906,32278
338953,11343
718930,40684
335787,91268
550988,17825
545611,1317730
545611,1383612
624860,9340
406759,6046
460458,100734
526896,125738
497698,93286
718789,7929
505026,11181
568124,76595
568124,1318201
882598,2218465
438695,52842
752623,931525
752623,174313
616037,55934
763285,865
760161,62768
644495,578
629542,1261455
675445,1098477
800939,17510
675353,93364
593643,57199
423108,1607672
19995,2710
539681,89027
634528,4746
508943,930567
597208,10828
542178,5655
459151,18864
985939,90812
522931,143059
653851,1485406
823625,206574
585216,1306608
619778,2127
676547,120245
756999,55499
648579,1211000
398818,78160
671,10965
482373,1046225
646207,876
899112,76927
522016,11092
482321,208113
482321,1454692
877269,227439
646385,1039527
646385,66681
576845,11090
614917,1415665
682507,1668008
664469,17883
610253,64141
615643,931952
639721,142587
639721,12080
601635,1758663
585245,68573
619730,59315
818397,10702
616820,64141
716612,225009
315162,1450348
791177,78160
556694,20629
614939,52934
516329,65167
617653,578
766475,1814510
511809,488
760741,67813
744,893
836723,94815
830788,1709460
520023,39847
62,240
38,201
717728,66212
