MovieId,Publisher_name
25341,Aniplex  Inc.
22751,Aniplex Inc.
17368,Aniplex Inc.
26668,Aniplex Inc.
23365,Aniplex Inc.
28735,Aniplex Inc.
19722,Aniplex Inc.
23662,Aniplex Inc.
27734,Aniplex Inc.
20057,Aniplex Inc.
19895,Aniplex Inc.
24969,Aniplex Inc.
19094,Aniplex Inc.
14011,Aniplex Inc.
27965,Aniplex Inc.
26383,Aniplex Inc. 	 
20134,Arthood Entertainment GmbH
20312,Arthur Film  아더필름(주)
25398,Asmik Ace  INC.
27600,Asmik Ace  Inc.
26139,Asmik Ace  Inc.
25591,Atrium Production KFT.
22265,Atrium Productions KFT.
20681,Atrium Productions Kft.
22479,Atrium Productions Kft.
21160,Atrium Productions Kft.
24417,Atrium Productions Kft.
22651,Atrium Productions Kft.
23786,Atrium Productions Kft.
25803,Atrium Productions Kft.
20975,Atrium Productions Kft.
20848,Atrium Productions Kft.
22818,Atrium Productions Kft.
21779,Atrium Productions Kft.
24252,Atrium Productions Kft.
20713,Atrium Productions. Kft.
28484,Autlook Filmsales GmbH
24729,Autlook Filmsales GmbH
29084,Autlook Filmsales GmbH as Sales Agent for Venom Ltd
20744,Avex Picture Inc.
28046,Avex Pictures Inc.
20355,BANDAI NAMCO Arts Inc.
20579,BATRAX ENTERTAINMENT B.V.
26317,BE FOR FILMS
27158,BE FOR FILMS
20712,BE FOR FILMS
26705,BE FOR FILMS
18318,BENED GOBAL SDN BHD
29524,BEST FRIEND FOREVER SPRL
28456,BEST FRIEND FOREVER SPRL
20527,BETA CINEMA
22114,BIGWEST CO.  LTD.
22229,BIGWEST CO.  LTD.
24372,BITTERS END  INC
20582,BL Production LLC
26885,BLUE FINCH FILM RELEASING LIMITED
29714,BLUE FOX ENTERTAINMENT2 LLC 
25408,BUENA VISTA INTERNATIONAL  INC.
22663,BUENA VISTA INTERNATIONAL  INC.
22242,BUENA VISTA INTERNATIONAL  INC.
22416,BUENA VISTA INTERNATIONAL  INC.
22530,BUENA VISTA INTERNATIONAL  INC.
23138,BUENA VISTA INTERNATIONAL  INC.
26318,BUENA VISTA INTERNATIONAL  INC.
