person_id,gender_id,person_name,person_original_name,known_for_department,data_created_time,data_updated_time
107727,1,Ekaterina Vilkova,Екатерина Вилкова,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1940991,1,Jade Halley Bartlett,Jade Halley Bartlett,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2480883,1,Lee Ju-bin,이주빈,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
38285,1,Jacqueline Zhu Zhi-Ying,朱芷瑩,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1309844,1,Mariana Treviño,Mariana Treviño,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2214765,1,Demi Singleton,Demi Singleton,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1580564,1,Lee Chien-Na,李千娜,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
2026050,1,Emmy Raver-Lampman,Emmy Raver-Lampman,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
4959,1,Claudia Cardinale,Claudia Cardinale,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
66762,1,Charlie Yeung Choi-Nei,杨采妮,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1285023,1,Ashley Park,Ashley Park,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
20710,1,Chiara Mastroianni,Chiara Mastroianni,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1515940,1,Sarwat Gilani,Sarwat Gilani,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1836775,1,Wang Yuwen,王玉雯,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1414400,1,Ji Sung-won,지성원,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
119143,1,Kana Hanazawa,花澤香菜,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
557188,1,Jessica Clement,Jessica Clement,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
23671,1,Émilie Dequenne,Émilie Dequenne,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
63359,1,Cathy Belton,Cathy Belton,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
41091,1,Kristen Wiig,Kristen Wiig,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
1183917,1,Lily Gladstone,Lily Gladstone,Acting,2025-03-02 01:14:54.379063+00:00,2025-03-04 07:00:03.914845+00:00
