imdb_id,imdb_rating,data_created_time,data_update_time
tt22463330,0.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt0111507,7.6,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt32750439,4.8,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt4028464,7.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt4707780,0.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt30474040,0.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt33428606,8.3,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt6710474,7.8,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt14514964,5.1,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt13231544,7.8,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt24216998,7.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt8020896,7.8,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt13705634,7.3,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt15744298,5.5,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt12496706,6.3,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt31869366,0.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt0228807,6.1,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt10787472,6.1,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt0488103,4.8,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt31015216,6.8,2025-03-03 07:00:02.455770+00:00,2025-03-05 07:00:03.721837+00:00
tt15488160,0.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt0092048,7.9,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt7097896,5.9,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt17679584,7.5,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt21187542,6.9,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt2016303,5.2,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt0440803,7.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt27816866,6.7,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt2625030,7.5,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
tt0094625,8.0,2025-03-01 17:36:40.921002+00:00,2025-03-05 07:00:03.721837+00:00
