tmdb_id,release_country_code,type_release_date,release_type_id,release_country_name,release_type_note,data_created_time,data_updated_time
598,AR,2003-03-06,1,阿根廷,Mar del Plata Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
398818,AR,2018-02-22,1,阿根廷,,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
820697,AR,2022-11-05,1,阿根廷,Mar del Plata Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
884,AR,1996-11-11,1,阿根廷,Mar del Plata Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1005409,AR,2022-11-09,1,阿根廷,Mar del Plata Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
788977,AR,2022-11-09,1,阿根廷,Mar del Plata Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
792307,AR,2023-11-08,1,阿根廷,Mar del Plata International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
746333,AR,2022-09-28,1,阿根廷,,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1114775,AR,2023-11-09,1,阿根廷,Mar del Plata International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
823219,AR,2024-11-23,1,阿根廷,Mar del Plata Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
837335,AR,2024-04-06,1,阿根廷,Italian Cinema Week,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
749136,AR,2022-11-07,1,阿根廷,Mar del Plata Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
888003,AR,2024-03-22,1,阿根廷,French Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1129646,AT,2023-10-06,1,奧地利,Japannual Japanese Film Festival Vienna,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
1027273,AT,2023-10-07,1,奧地利,Japannual Japanese Film Festival Vienna,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
948184,AT,2024-10-18,1,奧地利,Viennale - Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
508883,AT,2023-10-20,1,奧地利,Viennale,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
580175,AT,2020-10-23,1,奧地利,VIENNALE Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
901563,AT,2022-10-26,1,奧地利,Vienna International Film Festival,2025-03-02 05:24:43.859735+00:00,2025-03-02 09:35:05.830890+00:00
