Year,MovieId,Name,id,imdb_id,runtime,budget,revenue,production_country,tw_first_release_date
2022,20460,鬼電梯,760522,tt13017046,80,250000,247351,越南,2022-02-18
2022,20975,越驚,930478,tt17785786,108,0,0,越南,2022-04-22
2022,20929,祖怨,947890,tt14134154,101,0,1849768,越南,2022-04-15
2022,22309,迷霧中的孩子,893030,tt15839780,92,0,99434,越南,2022-09-23
2022,19408,逃出奧斯威辛,717694,tt9415108,95,0,360868,斯洛伐克,2021-10-01
2022,22895,喬治亞天空下 ,795815,tt14035154,150,0,24862,喬治亞,2022-11-18
2022,19627,勇鼠闖天堂,588890,tt3804810,87,0,1505235,捷克,2022-02-04
2022,21740,浪浪回家路,725133,tt13479414,88,0,0,捷克,2022-07-22
2022,21626,野蠻人入侵,796151,tt14760842,106,0,0,馬來西亞,2022-07-15
2022,18629,亞馬遜守護者：安珀傳奇(英語版),588921,tt6570098,85,10000000,10237061,秘魯,2022-01-13
2022,21223,格列佛遊記：重返小人國,763539,tt11238518,90,2500000,0,烏克蘭,2022-08-26
2022,22198,沒有煙硝的日子,913760,tt16315948,100,0,0,烏克蘭,2022-12-29
2022,20265,2gether電影版：只因我們天生一對,810406,tt14296268,107,0,0,泰國,2021-12-24
2022,21115,猛鬼大學：第2學期,939879,tt19328882,130,0,0,泰國,2022-05-13
2022,21436,鬼單眼,947514,tt18259846,113,0,0,泰國,2022-07-22
2022,23289,魔蟲禁區,949697,tt22479478,85,0,0,泰國,2022-12-16
2022,21210,淒厲人僧：卡到陰,937743,tt19072268,114,0,0,泰國,2022-05-20
2022,23085,愛情需要編劇,922378,tt19357986,100,0,0,泰國,2022-11-18
2022,20314,記憶,511819,tt8399288,136,0,0,泰國,2021-12-25
2022,20413,波米叔叔的前世今生,38368,tt1588895,114,0,0,泰國,2010-11-26
2022,22110,超級蜥蜴王,947049,tt21243636,109,0,0,泰國,2022-09-02
2022,22265,詭孩,660942,tt4028464,117,3400000,322000,挪威,2022-10-28
2022,19764,忍者寶寶,654074,tt13821562,104,0,0,挪威,2022-01-14
2022,20672,秋月,831031,tt8856814,90,0,0,香港,2022-03-06
2022,19859,梅艷芳,848788,tt15010590,136,10700000,0,香港,2021-11-12
2022,19159,怒火,513692,tt8165192,125,0,205000000,香港,2021-10-22
2022,20822,神探大戰,543504,tt10283270,102,0,105500000,香港,2022-08-19
2022,16476,麥路人,640092,tt10117402,114,0,0,香港,2020-09-17
2022,7331,春光乍洩,18329,tt0118845,96,125000,5000000,香港,1997-06-07
2022,7331,春光乍洩,18329,tt0118845,96,125000,5000000,香港,1997-06-07
2022,20716,重慶森林 4K數位修復版,11104,tt0109424,98,160000,0,香港,2022-04-22
2022,18149,墮落天使  4K數位修復版,11220,tt0112913,98,0,0,香港,2021-02-19
2022,9993,阿飛正傳,18311,tt0101258,94,0,3255404,香港,1990-12-22
2022,20763,胭脂扣,68883,tt0093258,96,0,0,香港,1987-12-05
2022,22420,飯戲攻心,851800,tt21187542,116,0,10138355,香港,2022-09-23
2022,22876,智齒,591222,tt14032696,118,16000000,0,香港,2022-12-23
2022,20565,少年,436792,tt6419442,0,0,0,香港,2022-04-08
2022,20565,少年,436792,tt6419442,0,0,0,香港,2022-04-08
2022,20343,G風暴,814785,tt10423286,93,0,55540000,香港,2020-01-30
2022,20702,阮玲玉,68004,tt0102816,146,0,0,香港,1991-11-29
2022,20741,英雄本色,11471,tt0092263,95,0,4469460,香港,1986-08-08
2022,21747,闔家辣,851798,tt17044664,94,0,0,香港,2022-07-22
2022,10916,霸王別姬(數位修復版),10997,tt0106332,171,4000000,6400000,香港,1993-12-10
2022,22182,媽的星寵兒,942171,tt15244854,127,0,0,香港,2022-09-02
2022,21786,七人樂隊,537761,tt4431104,112,0,0,香港,2022-07-22
2022,22631,憂鬱之島,924120,tt15282802,97,0,0,香港,2022-11-20
2022,21047,邊緣行者,941132,tt18500636,113,0,0,香港,2022-05-06
2022,20697,秋天的童話,64015,tt0093426,98,0,0,香港,1987-07-03
2022,21801,繼園臺七號,616020,tt10687168,125,0,0,香港,2022-09-21
2022,23391,正義迴廊,1005251,tt21867590,135,0,0,香港,2022-12-30
2022,21812,美少年之戀,27060,tt0168496,101,0,0,香港,2022-09-23
2022,21517,喜歡妳是妳,876189,tt15619584,92,0,0,香港,2022-07-15
2022,22231,一路瞳行,838119,tt14071698,96,0,0,香港,2022-09-08
2022,23317,無間道,10775,tt0338564,100,6400000,8836958,香港,2022-12-30
2022,22085,玫瑰的故事,1325023,,0,0,0,香港,2022-09-23
2022,21978,流金歲月,255856,tt0095533,105,0,0,香港,2022-09-23
2022,22435,心裏美,987446,,98,0,0,香港,2022-09-30
2022,21123,海上花,45935,tt0156587,113,0,0,香港,2022-09-23
2022,23367,無間道II,11647,tt0369060,119,125000,3208262,香港,2022-12-30
2022,23349,無間道III：終極無間,14310,tt0374339,118,250000,4468597,香港,2022-12-30
2022,22758,流浪者之歌,861947,,45,0,0,英國,2022-10-21
2022,22755,卡拉之歌,2143,tt0115832,105,0,0,英國,2022-10-21
2022,20515,時代革命,850884,tt15049118,152,0,0,英國,2022-02-25
2022,15965,末代皇帝（數位修復版）,746,tt0093389,163,23800000,44000000,英國,1988-04-23
2022,7689,發條橘子,185,tt0066921,136,2200000,27033812,英國,2017-12-29
2022,22525,瘋狂富作用,497828,tt7322224,147,15600000,24733572,英國,2022-10-07
2022,21017,鯊顫,960258,tt12550376,87,5000000,1824152,英國,2022-05-13
2022,20802,餐廳失控夜,807196,tt11127680,95,0,0,英國,2022-04-01
2022,22117,士兵與軍官,797838,tt4061620,107,0,253583,英國,2022-09-02
2022,20693,極限逃殺,924482,tt6805938,86,2500000,0,英國,2022-03-18
2022,22611,如果驢知道,785398,tt19652910,88,0,1068353,英國,2022-12-02
2022,19272,算牌手,643532,tt11196036,111,0,5040860,英國,2021-09-17
2022,21906,我們的英搖時光,624793,tt5693182,110,0,0,英國,2022-08-12
2022,20076,愛上費加洛,508444,tt7392014,104,0,1073966,英國,2021-12-17
2022,21268,羅密歐與茱麗葉（英國國家劇院現場）,454,tt0117509,120,14500000,147298761,英國,2022-06-10
2022,18530,裸體午餐,2742,tt0102511,115,16000000,2641357,英國,1992-03-14
2022,14480,超速性追緝,884,tt0115964,100,9000000,2671855,英國,1996-10-25
2022,22260,性愛成癮的男人,76025,tt1723811,102,6500000,3909002,英國,2022-09-23
2022,20827,瑪莉娜的512小時,816344,tt8523022,92,0,0,英國,2022-04-15
2022,20519,馬克白（英國皇家歌劇院）,591538,tt10095582,105,0,176248,英國,2022-02-10
2022,20519,馬克白（英國皇家歌劇院）,591538,tt10095582,105,0,176248,英國,2022-02-10
2022,11227,山那邊的青稞田,496404,tt7606796,115,0,0,英國,2019-01-18
2022,21869,偷香 數位修復版,14553,tt0117737,116,10000000,4800000,英國,2022-08-05
2022,22880,大製片家,844176,tt10370886,94,0,0,英國,2022-11-25
2022,20291,毫無意義,42035,tt0089343,110,0,0,英國,2022-01-07
2022,20189,蜘蛛人：無家日,634649,tt10872600,148,200000000,1921847111,美國,2021-12-15
2022,23322,阿凡達：水之道,76600,tt1630029,192,460000000,2320250281,美國,2022-12-16
2022,19885,永恆族,524434,tt9032400,156,200000000,402064899,美國,2021-11-03
2022,23049,黑豹 2：瓦干達萬歲,505642,tt9114286,162,250000000,859102154,美國,2022-11-09
2022,21054,奇異博士2：失控多重宇宙,453395,tt9419884,126,200000000,955775804,美國,2022-05-04
2022,21741,雷神索爾：愛與雷霆,616037,tt10648342,119,250000000,760900000,美國,2022-07-06
2022,21741,雷神索爾：愛與雷霆,616037,tt10648342,119,250000000,760900000,美國,2022-07-06
2022,20277,金牌特務：金士曼起源,476669,tt6856242,131,100000000,125897478,美國,2021-12-30
2022,19639,猛毒2：血蜘蛛,580489,tt7097896,97,110000000,506863592,美國,2021-10-13
2022,19182,沙丘,438631,tt1160419,155,165000000,407573628,美國,2021-09-16
2022,19150,尚氣與十環傳奇,566525,tt9376612,132,150000000,432243292,美國,2021-09-02
2022,22676,黑亞當,436270,tt6443346,125,200000000,393452111,美國,2022-10-19
2022,20587,蝙蝠俠,414906,tt1877830,176,185000000,772319315,美國,2022-03-03
2022,20863,怪獸與鄧不利多的秘密,338953,tt4123432,142,200000000,407200000,美國,2022-04-14
2022,21777,子彈列車,718930,tt12593682,126,90000000,239300000,美國,2022-08-03
2022,20539,秘境探險,335787,tt1464335,116,120000000,407141258,美國,2022-02-17
2022,18984,脫稿玩家,550988,tt6264654,115,110000000,331526598,美國,2021-08-12
2022,20828,媽的多重宇宙,545611,tt6710474,140,25000000,139200000,美國,2022-04-22
2022,20215,駭客任務：復活,624860,tt10838180,147,190000000,156497322,美國,2021-12-22
2022,20484,月球隕落,406759,tt5834426,131,146000000,67319703,美國,2022-02-03
2022,19984,惡靈古堡首部曲：拉昆市,460458,tt6920084,107,25000000,41914915,美國,2021-11-26
2022,20786,魔比斯,526896,tt5108870,104,75000000,167635712,美國,2022-04-01
2022,18891,黑寡婦,497698,tt3480822,134,200000000,379751131,美國,2021-07-14
2022,21422,巴斯光年(英文版),718789,tt10298810,105,200000000,226425420,美國,2022-06-17
2022,20470,尼羅河謀殺案,505026,tt7657566,127,90000000,137307235,美國,2022-02-11
2022,20050,魔法滿屋,568124,tt2953050,102,135000000,261289554,美國,2021-11-26
2022,22373,微笑,882598,tt15474916,116,17000000,217408513,美國,2022-09-30
2022,20210,歡樂好聲音 2,438695,tt6467266,110,85000000,408402685,美國,2022-01-28
2022,20748,失落謎城,752623,tt13320622,112,74000000,192907684,美國,2022-04-08
2022,21742,雷神索爾：愛與雷霆,616037,tt10648342,119,250000000,760900000,美國,2022-07-06
2022,21742,雷神索爾：愛與雷霆,616037,tt10648342,119,250000000,760900000,美國,2022-07-06
2022,20580,劫命救護,763285,tt4998632,136,40000000,52303589,美國,2022-03-25
2022,21821,孤兒怨2：最黑暗的過去,760161,tt11851548,99,10000000,9572765,美國,2022-08-26
2022,20212,GUCCI：豪門謀殺案,644495,tt11214590,157,75000000,153235995,美國,2022-01-07
2022,20635,壞蛋聯盟,629542,tt8115900,100,80000000,250162278,美國,2022-03-18
2022,18983,汪汪隊立大功電影版,675445,tt11832046,86,26000000,144327371,美國,2021-09-17
2022,22355,幸福入場券,800939,tt14109724,104,20000000,168800000,美國,2022-10-07
2022,20820,音速小子 2,675353,tt12412888,125,110000000,405421518,美國,2022-04-01
2022,22663,五星饗魘,593643,tt9764362,107,35000000,79628200,美國,2022-12-02
2022,18759,厲陰宅3：是惡魔逼我的,423108,tt7069210,111,39000000,206431050,美國,2021-07-22
2022,22416,阿凡達 (A版),19995,tt0499549,162,237000000,2923706026,美國,2022-09-23
2022,21837,DC超級寵物軍團(英文版),539681,tt8912936,105,90000000,203000000,美國,2022-08-09
2022,18014,捍衛救援,634528,tt6902332,107,23000000,23076711,美國,2021-01-20
2022,18846,路卡的夏天,508943,tt12801262,95,200000000,51074773,美國,2021-08-06
2022,20403,夜路,597208,tt7740496,150,60000000,39629195,美國,2022-01-28
2022,19688,法蘭西特派週報,542178,tt8847712,103,25000000,46333545,美國,2021-12-10
2022,18925,寶貝老闆：家大業大,459151,tt6932874,107,82000000,146745280,美國,2021-10-08
2022,22337,墜,985939,tt15325794,102,3000000,17363261,美國,2022-09-16
2022,18816,殺手保鑣2,522931,tt8385148,99,70000000,70060492,美國,2021-10-08
2022,23155,決戰38度線,653851,tt7693316,139,90000000,20000000,美國,2022-12-02
2022,20582,黑光行動,823625,tt14060094,104,43000000,15902207,美國,2022-02-25
2022,18866,密弒遊戲2：勝者危亡,585216,tt9844522,88,15000000,65774490,美國,2021-09-17
2022,19161,疾厄,619778,tt3811906,111,40000000,34891791,美國,2021-09-02
2022,22879,鬼禱,676547,tt9271672,93,0,37655699,美國,2022-10-28
2022,20241,闇黑電話,756999,tt7144666,103,16000000,161440742,美國,2022-07-01
2022,20925,超吉任務,648579,tt11291274,107,30000000,29116320,美國,2022-04-22
2022,7858,以你的名字呼喚我,398818,tt5726616,132,3500000,43143046,美國,2018-01-12
2022,7858,以你的名字呼喚我,398818,tt5726616,132,3500000,43143046,美國,2018-01-12
2022,20104,哈利波特：神秘的魔法石,671,tt0241527,152,125000000,976475550,美國,2001-11-16
2022,18958,暫時停止呼吸2,482373,tt6246322,98,15000000,53785551,美國,2021-08-20
2022,18824,疾凍救援,646207,tt3758814,109,0,7502846,美國,2021-09-24
2022,23153,暴戾夜,899112,tt12003946,111,20000000,75734910,美國,2022-12-02
2022,20294,355：諜影特攻,522016,tt8356942,122,75000000,55700000,美國,2022-01-19
2022,19817,天兵阿榮,482321,tt7504818,107,0,60692022,美國,2021-10-29
2022,23138,奇異冒險 (英文版),877269,tt10298840,102,180000000,73621640,美國,2022-11-25
2022,20240,驚聲尖叫,646385,tt11245972,114,24000000,137743924,美國,2022-01-14
2022,19964,迷離夜蘇活,576845,tt9639470,117,43000000,22957625,美國,2021-11-12
2022,19786,王者理查,614917,tt9620288,138,50000000,39400000,美國,2021-11-18
2022,21867,沼澤謀殺案,682507,tt9411972,126,24000000,144353965,美國,2022-10-07
2022,22530,阿姆斯特丹,664469,tt10304142,134,80000000,31245810,美國,2022-10-07
2022,19308,月光光新慌慌：萬聖殺,610253,tt10665338,105,20000000,133423964,美國,2021-10-22
2022,18430,夢想之地,615643,tt10633456,115,2000000,12900000,美國,2021-04-23
2022,20137,阿達一族 2,639721,tt11125620,93,0,119815153,美國,2021-12-30
2022,22195,拉辛正傳,601635,tt10028196,164,23000000,16000000,美國,2022-09-08
2022,19919,大紅狗克里弗,585245,tt2397461,96,64000000,107347356,美國,2021-12-10
