,MovieId,Rank,Region,Name,ReleaseDate,Publisher,DayCount,TheaterCount,Amount,AmountRate,Tickets,TicketRate,MarketShare,TotalDayCount,TotalAmount,TotalTickets,FirstWeekAmount,TotalWeekendAmount,Year
35,20749,36,韓國,奇怪的數學家,2022-03-18,SHOWBOX CORP.,28.0,47,828666,0,3543,0,0.000158262996829,28,828666,3543,642213,516943,2022
36,20942,37,韓國,超跑斯特拉,2022-04-29,FINECUT CO. LTD,60.0,55,729431,0,3464,0,0.00015473412955500001,60,729431,3464,604365,489186,2022
37,21164,38,韓國,死亡預報,2022-05-13,RELAY MOTION KFT.,26.0,50,707122,0,3034,0,0.000135526370979,26,707122,3034,590188,471378,2022
38,23390,39,韓國,碰碰狐音樂電影:奇幻城嘉年華,2022-12-23,The Pinkfong Company  Inc.,9.0,37,487909,0,2093,0,9.349264814106644e-05,42,487909,2093,437605,496635,2022
39,23199,40,韓國,王者製造,2022-12-02,M LINE DISTRIBUTION,23.0,33,487290,0,2137,0,9.545809320471045e-05,46,487290,2137,384185,321796,2022
40,23364,41,韓國,花路阿朱媽,2022-12-23,REDIANCE,9.0,16,427653,0,1952,0,8.719429009620721e-05,28,427653,1952,390508,334842,2022
41,20633,42,韓國,遊走塵市間,2022-03-18,FINECUT CO. LTD.,70.0,6,377235,0,1675,0,7.482092003644829e-05,70,377235,1675,89590,225215,2022
42,20778,43,韓國,為人民服務,2022-03-25,RELAY MOTION KFT.,17.0,34,347827,0,1532,0,6.843322357960524e-05,17,347827,1532,305920,176231,2022
43,22818,44,韓國,笑子當老大,2022-10-28,Atrium Productions Kft.,21.0,40,333872,0,1476,0,6.593174804405831e-05,21,333872,1476,282729,199117,2022
44,20661,45,韓國,茲山魚譜,2022-03-11,M-LINE DISTRIBUTION,45.0,12,286822,0,1327,0,5.927603635126381e-05,45,286822,1327,145557,144382,2022
45,20473,46,韓國,亡命陷阱,2022-01-28,kt alpha Co. Ltd.,55.0,11,187511,0,839,0,3.7477463827212004e-05,55,187511,839,113036,90850,2022
46,18817,47,韓國,引言,2021-12-24,FINECUT CO. LTD.,12.0,2,46740,0,226,0,1.009524055417153e-05,20,124775,590,71820,49735,2022
47,20994,48,韓國,春川神秘中邪事件,2022-04-29,INOLMEDIA Co. Ltd,14.0,14,104313,0,426,0,1.902908175255341e-05,14,104313,426,96903,68348,2022
48,18794,49,韓國,無人之境,2022-01-21,KT HITEL CO. LTD.,21.0,4,96045,0,406,0,1.8135697632715222e-05,21,96045,406,78690,59155,2022
49,20555,50,韓國,在你面前,2022-04-15,FINECUT CO. LTD.,24.0,5,67159,0,327,0,1.4606830359354383e-05,24,67159,327,33314,29194,2022
50,23146,51,韓國,小說家電影,2022-12-09,FINECUT CO.  LTD,22.0,4,62440,0,252,0,1.1256639909961171e-05,25,62440,252,38090,37305,2022
51,20801,52,韓國,阿爸休假中,2022-04-22,Indiestory Inc.,15.0,8,52615,0,245,0,1.0943955468017802e-05,15,52615,245,46035,34470,2022
52,22754,53,韓國,時間之舞,2022-10-24,INDIESTORY INC,3.0,1,5970,0,47,0,2.0994526816197433e-06,3,5970,47,5970,2880,2022
53,23154,54,澳洲,閨蜜大狂殺,2022-12-16,LevelK ApS,11.0,9,55508,0,233,0,1.0407924996114891e-05,11,55508,233,52038,25998,2022
54,19991,55,澳洲,花果飄零,2022-03-04,Lunar Films Pty. Limited,3.0,1,47770,0,243,0,1.0854617056033992e-05,3,47770,243,47770,47770,2022
55,19811,56,澳洲,浮生,2022-03-13,National Film and Sound Archive of Australia,1.0,1,15630,0,81,0,3.618205685344663e-06,1,15630,81,15630,15630,2022
56,22858,57,澳門,海鷗來過的房間,2022-11-11,地地影像工房有限公司,35.0,13,169870,0,798,0,3.564602638154372e-05,35,169870,798,105950,63345,2022
57,21384,58,黎巴嫩,黎巴嫩的天空,2022-06-10,1982 Productions LLC,30.0,10,96874,0,493,0,2.202191855401134e-05,30,96874,493,60349,55034,2022
58,22111,59,摩洛哥,聽見心嘻望,2022-09-23,WILD BUNCH INTERNATIONAL,17.0,12,79962,0,381,0,1.7018967482917492e-05,17,79962,381,46317,49287,2022
59,18924,60,德國,瑪雅蜜蜂大冒險：守護小金蛋,2022-02-25,Studio 100 Film GmbH,28.0,61,1209573,0,5290,0,0.00023630009969700003,28,1209573,5290,856858,832099,2022
60,21265,61,德國,PINA,2022-06-02,HANWAY FILMS LIMITED,44.0,12,889361,0,3166,0,0.00014142270617000001,46,889361,3166,340487,403254,2022
61,21031,62,德國,詭棋,2022-05-13,Error 404 Productions## Limited##優橝文化傳媒有限公司,61.0,54,580693,0,2681,0,0.00011975814126400001,61,580693,2681,471750,417136,2022
62,22172,63,德國,米婭的精靈王國,2022-08-26,Studio 100 Film GmbH,27.0,56,545017,0,2403,0,0.00010734010199800001,46,545017,2403,446337,441023,2022
63,20589,64,德國,再見列寧！,2022-03-11,Bavaria Media International A division of Bavaria Media GmbH,30.0,14,486654,0,2192,0,9.791489953426546e-05,30,486654,2192,284406,272709,2022
64,21857,65,德國,非戀人絮語,2022-08-05,THE MATCH FACTORY GmbH,30.0,13,389055,0,1733,0,7.741173398397903e-05,30,389055,1733,241366,165098,2022
65,21664,66,德國,永別了，柏林,2022-07-29,LES FILMS DU LOSANGE,26.0,17,373187,0,1722,0,7.692037271806804e-05,26,373187,1722,212262,213102,2022
66,21214,67,德國,自然就樹美,2022-06-02,TELEPOOL GmbH##Munchen,37.0,18,366227,0,1663,0,7.428488956454537e-05,37,366227,1663,134947,178512,2022
67,20534,68,德國,我是你的完美男友,2022-02-25,Beta Cinema GmbH,24.0,17,357999,0,1644,0,7.34361746506991e-05,24,357999,1644,257271,187811,2022
68,22432,69,德國,逃出風暴,2022-10-28,The Playmaker Munich,14.0,13,169954,0,809,0,3.613738764745472e-05,14,169954,809,140430,99867,2022
69,20223,70,德國,鄰危不亂,2022-01-07,Beta Cinema GmbH,70.0,16,162434,0,1060,0,4.734935835142399e-05,70,162434,1060,96014,95304,2022
70,22515,71,德國,趴兔青春期,2022-10-21,Beta Cinema GmbH,20.0,15,148507,0,696,0,3.108976737036896e-05,20,148507,696,93957,59822,2022
71,20134,72,德國,指考風暴,2022-04-01,Arthood Entertainment GmbH,15.0,10,115918,0,540,0,2.4121371235631084e-05,15,115918,540,96473,47047,2022
72,21746,73,德國,泳漾水男孩,2022-08-19,m-appeal world sales UG (haftungsbeschr),14.0,13,99238,0,452,0,2.019048110834306e-05,14,99238,452,87448,47952,2022
73,21236,74,德國,熟女解放中,2022-06-10,M- Appeal,32.0,9,89968,0,471,0,2.1039196022189342e-05,32,89968,471,51843,50803,2022
74,20103,75,德國,騎趣環世界,2021-12-30,Busch Medie Group GmbH ## Co. KG,20.0,5,52255,0,256,0,1.1435316733928811e-05,22,67375,327,48030,37900,2022
75,18291,76,德國,型男斷捨離,2022-02-11,PICTURE TREE INTERNATIONAL GMBH,14.0,10,51775,0,220,0,9.827225318220073e-06,14,51775,220,47195,28282,2022
76,19920,77,德國,人性遊戲,2022-01-07,KARNAVAS-KONTOVRAKIS KAI SIA OE##Heretic,15.0,4,38930,0,183,0,8.174464696519425e-06,15,38930,183,30940,16295,2022
77,23290,78,德國,蘿拉快跑,2022-12-17,Beta Film GmbH,1.0,1,12945,0,62,0,2.769490771498384e-06,23,12945,62,108412,89462,2022
78,22270,79,墨西哥,危雞總動員,2022-09-23,Odin's Eye Animation Pty Ltd,39.0,14,149154,0,785,0,3.50653267036489e-05,58,149154,785,83209,136159,2022
79,19372,80,義大利,達賴喇嘛:大腦故事 ,2021-11-12,MAKARAMPA S.R.L.,26.0,2,11775,0,56,0,2.501475535546928e-06,67,1515391,7008,671223,651781,2022
80,21998,81,義大利,請為我在羅馬多留一天,2022-09-08,VISION DISTRIBUTION S.p.A.,50.0,16,365064,0,2014,0,8.99637808677056e-05,50,365064,2014,189749,188924,2022
81,20313,82,義大利,非甜蜜生活,2021-12-28,The Match Factory,31.0,14,207999,0,991,0,4.4267183137982245e-05,33,228374,1089,112824,115814,2022
82,20872,83,義大利,真愛超能力,2022-04-29,True Colours Glorious Films Srl,20.0,15,201584,0,947,0,4.230173807433822e-05,20,201584,947,141429,99254,2022
83,21789,84,義大利,洞,2022-07-22,Société Parisienne de Production SARL,18.0,8,149164,0,696,0,3.108976737036896e-05,18,149164,696,102659,77959,2022
84,21263,85,義大利,愛在書店相遇時,2022-06-02,True Colours,41.0,14,141789,0,811,0,3.622672605943854e-05,41,141789,811,84249,77414,2022
85,21352,86,義大利,隔離巢,2022-06-17,FILM FACTORY ENTERTAINMENT##S.L.,19.0,9,75097,0,316,0,1.4115469093443373e-05,19,75097,316,59311,36612,2022
86,20239,87,義大利,戰地夜曲,2022-07-01,The Match Factory GmbH,25.0,4,48345,0,239,0,1.0675940232066351e-05,25,48345,239,28455,32095,2022
87,22877,88,瑞典,星夢性快感,2022-11-11,VERSATILE,16.0,17,81848,0,358,0,1.599157574510357e-05,16,81848,358,74416,38693,2022
88,21045,89,瑞士,阿哈：帶我走,2022-05-13,First Hand Films,36.0,10,286305,0,1235,0,5.516646940000814e-05,36,286305,1235,166184,137888,2022
89,22739,90,瑞士,瑞士鐘錶師,2022-11-04,Alpha Violet,23.0,11,206312,0,972,0,4.341846822413597e-05,23,206312,972,159032,125052,2022
90,22523,91,瑞士,女孩與蜘蛛,2022-12-02,Cercamon MFZE,16.0,10,42997,0,207,0,9.24652564032525e-06,16,42997,207,34507,22092,2022
91,21919,92,新加坡,妖街皇后,2022-09-23,花生映社有限公司,14.0,6,122233,0,418,0,1.8671728104618143e-05,16,122233,418,10545,109212,2022
92,20556,93,奧地利,愛你讓我自由,2022-03-25,THE MATCH FACTORY,19.0,14,236988,0,1084,0,4.842141929522981e-05,19,236988,1084,177723,116073,2022
93,21659,94,塞爾維亞,黑貓白貓：4K數位修復版,2022-08-12,MK2 FILMS,23.0,14,419234,0,1888,0,8.433546091272499e-05,27,419234,1888,251579,195889,2022
94,22648,95,越南,替屍鬼2：詛咒再臨,2022-10-07,RELAY MOTION KFT.,33.0,54,2273555,0,9864,0,0.000440617047904,33,2273555,9864,1495859,1415828,2022
95,20460,96,越南,鬼電梯,2022-02-18,RELAY MOTION KFT.,30.0,48,1982619,0,8981,0,0.000401174139013,30,1982619,8981,1256056,1354924,2022
96,20975,97,越南,越驚,2022-04-22,Atrium Productions Kft.,34.0,43,1665825,0,7022,0,0.00031366716447500003,34,1665825,7022,1185774,1161680,2022
97,20929,98,越南,祖怨,2022-04-15,GEM ENTERTAINMENT KFT.,28.0,45,1087690,0,4541,0,0.000202842864409,28,1087690,4541,844396,751142,2022
98,22309,99,越南,迷霧中的孩子,2022-09-23,CAT##Docs,23.0,10,168500,0,714,0,3.1893813078223335e-05,23,168500,714,112135,89785,2022
99,19408,100,斯洛伐克,逃出奧斯威辛,2021-10-01,Beta Cinema GmbH.,28.0,1,15345,0,279,0,1.2462708471742722e-05,70,496318,2471,262615,306528,2022
100,22895,101,喬治亞,喬治亞天空下 ,2022-11-18,CERCAMON MFZE ,21.0,10,88852,0,414,0,1.8493051280650503e-05,21,88852,414,68802,38680,2022
101,20336,102,捷克,慕夏狂潮：從崛起到永恆,2022-01-14,NEW DOCS e.K.,26.0,16,273749,0,1305,0,5.8293313819441806e-05,26,273749,1305,166164,137904,2022
102,19627,103,捷克,勇鼠闖天堂,2022-02-04,CHARADES,22.0,28,244878,0,1105,0,4.935947262105991e-05,22,244878,1105,205463,156268,2022
103,21740,104,捷克,浪浪回家路,2022-07-22,S-MEDIA.TV s.r.o.,28.0,9,94855,0,440,0,1.9654450636440143e-05,28,94855,440,67840,62408,2022
104,21626,105,馬來西亞,野蠻人入侵,2022-07-15,Good Move Media,14.0,16,67853,0,328,0,1.4651499565346292e-05,14,67853,328,53353,36693,2022
105,18629,106,秘魯,亞馬遜守護者：安珀傳奇(英語版),2022-01-13,CINEMA MANAGEMENT GROUP LLC,2.0,2,37300,0,165,0,7.370418988665054e-06,2,37300,165,37300,14300,2022
106,21223,107,烏克蘭,格列佛遊記：重返小人國,2022-08-26,All Rights Entertainment.Ltd,36.0,39,549075,0,2378,0,0.00010622337184800001,36,549075,2378,398928,397217,2022
107,22198,108,烏克蘭,沒有煙硝的日子,2022-12-29,ARTHOOD ENTERTAINMENT GmbH.,3.0,14,51530,0,220,0,9.827225318220073e-06,32,51530,220,100133,113020,2022
108,20265,109,泰國,2gether電影版：只因我們天生一對,2021-12-24,GMM TV COMPANY LIMITED,53.0,26,1057813,0,4245,0,0.000189620779435,63,3320735,12805,2041602,1942605,2022
109,21115,110,泰國,猛鬼大學：第2學期,2022-05-13,Sahamongkolfilm International Co. Ltd.,38.0,57,1770800,0,7532,0,0.00033644845953100005,38,1770800,7532,1180873,1193096,2022
110,21436,111,泰國,鬼單眼,2022-07-22,RELAY MOTION KFT.,35.0,29,1525453,0,6292,0,0.000281058644101,36,1525453,6292,1120274,942800,2022
111,20654,112,泰國,凝弒,2022-03-11,CJ ENM CO. Ltd,20.0,52,1320373,0,5653,0,0.00025251502147200004,20,1320373,5653,1193615,868386,2022
112,23289,113,泰國,魔蟲禁區,2022-12-16,RELAY MOTION KFT.,14.0,50,556482,0,2321,0,0.00010367722710700001,14,556482,2321,506234,360200,2022
113,21210,114,泰國,淒厲人僧：卡到陰,2022-05-20,Five Star Production Company Limited,39.0,40,529394,0,2314,0,0.00010336454266500001,39,529394,2314,364346,356139,2022
114,23085,115,泰國,愛情需要編劇,2022-11-18,M PICTURES COMPANY LIMITED,23.0,36,495989,0,2203,0,9.840626080017646e-05,23,495989,2203,421564,364548,2022
115,21066,116,泰國,愛在暹邏：數位經典版,2022-05-18,Sahamongkolfilm International Co. Ltd.,36.0,16,410490,0,1600,0,7.14707295870551e-05,36,410490,1600,246652,278466,2022
116,20314,117,泰國,記憶,2021-12-25,Kick The Machine Films,36.0,11,308866,0,1332,0,5.949938238122335e-05,43,390591,1705,210520,223171,2022
117,20413,118,泰國,波米叔叔的前世今生,2010-11-26,THE MATCH FACTORY,23.0,10,126806,0,563,0,2.5148762973445003e-05,23,126806,563,89465,66886,2022
118,22110,119,泰國,超級蜥蜴王,2022-09-02,Neramitnung Film Co.  Ltd.,14.0,20,107917,0,463,0,2.068184237425406e-05,14,107917,463,98402,71472,2022
119,20365,120,挪威,世界上最爛的人,2022-01-01,MK2,130.0,24,6199335,0,25791,0,0.0011520634917370001,134,6231285,25939,810694,3367623,2022
120,21974,121,挪威,愛重奏,2022-09-02,TRUSTNORDISK APS,27.0,8,378998,0,1645,0,7.348084385669102e-05,29,378998,1645,225050,200588,2022
121,22265,122,挪威,詭孩,2022-10-28,Atrium Productions KFT.,18.0,20,246306,0,1031,0,4.605395137765861e-05,18,246306,1031,182300,133726,2022
122,19764,123,挪威,忍者寶寶,2022-01-14,Trustnordisk APS,14.0,10,71180,0,337,0,1.5053522419273471e-05,14,71180,337,57760,37930,2022
123,20672,124,香港/日本,秋月,2022-03-06,LUNAR FILMS PTY LIMITED,3.0,1,43830,0,220,0,9.827225318220073e-06,3,43830,220,43830,30600,2022
124,19859,125,香港,梅艷芳,2021-11-12,安樂影片有限公司##萬誘引力乙有限公司##天下一電影製作有限公司##華夏電影發行有限責任公司##電訊盈科媒體有限公司 ,47.0,6,75810,0,918,0,4.1006331100572856e-05,102,10102574,42851,1807616,6226489,2022
125,19159,126,香港,怒火,2021-10-22,英皇影業有限公司##騰訊影業文化傳播有限公司##銀都機構有限公司##香港騰訊影業有限公司##天津貓眼微影文化傳媒有限公司##超級子彈影業有限公司##天下一電影製作有限公司##華文映像(北京)影業有限公司,26.0,7,92025,0,886,0,3.9576916508831754e-05,77,4960649,22136,3355088,3195561,2022
126,20822,127,香港,神探大戰,2022-08-19,英皇影業有限公司## 英皇(北京)影視文化傳媒有限公司##北京上獅文化傳播有限公司##上海淘票票影視文化有限公司##華文映像(北京)影業有限公司,87.0,75,4410999,0,19846,0,0.0008865050621150001,87,4410999,19846,1822814,2603564,2022
127,16476,128,香港,麥路人,2020-09-17,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,1.0,1,22000,0,100,0,4.466920599190943e-06,95,3945026,18559,1975810,2258172,2022
128,21732,129,香港,花樣年華 4K數位修復版,2022-09-16,Jet Tone Films Limited##春光映畫##PARADIS FILMS,65.0,23,3636734,0,14494,0,0.0006474354716460001,95,3636734,14494,1311876,2256057,2022
129,7331,130,香港,春光乍洩,1997-06-07,春光電影發行有限公司,65.0,20,3162382,0,12554,0,0.000560777212022,69,3162382,12554,1575126,1607500,2022
130,20716,131,香港,重慶森林 4K數位修復版,2022-04-22,Jet Tone Films Limited,70.0,21,3036557,0,11386,0,0.0005086035794230001,75,3036557,11386,1315488,1842778,2022
131,18149,132,香港,墮落天使  4K數位修復版,2021-02-19,Jet Tone Productions Ltd.,23.0,1,125985,0,555,0,2.4791409325509733e-05,69,2689538,11041,1209879,1495684,2022
132,9993,133,香港,阿飛正傳,1990-12-22,(英屬維京群島)EAST ASIA FILMS DISTRIBUTION LIMITED##(香港)ESUN.COM LIMITED,24.0,7,226993,0,943,0,4.212306125037059e-05,95,1868433,8075,936700,1104431,2022
133,20763,134,香港,胭脂扣,1987-12-05,FORTUNE STAR MEDIA LIMITED,38.0,18,955175,0,4156,0,0.000185645220102,42,1113265,4856,482648,599065,2022
134,22420,135,香港,飯戲攻心,2022-09-23,安樂影片有限公司##萬誘引力乙有限公司##天下一電影製作有限公司,49.0,32,1069383,0,4301,0,0.00019212225497100002,51,1069383,4301,520588,633441,2022
135,22876,136,香港,智齒,2022-12-23,太陽娛樂文化有限公司,10.0,59,1056777,0,4601,0,0.000205523016768,44,1056777,4601,886862,765082,2022
136,20565,137,香港,少年,2022-04-08,1984工作室,47.0,25,972595,0,4386,0,0.00019591913748,50,972595,4386,491490,606080,2022
137,20343,138,香港,G風暴,2020-01-30,東方影業出品有限公司,63.0,35,939296,0,4577,0,0.000204450955824,63,939296,4577,639702,574105,2022
138,20702,139,香港,阮玲玉,1991-11-29,FORTUNE STAR MEDIA LIMITED,35.0,17,682100,0,2736,0,0.00012221494759300002,41,836285,3434,361049,470916,2022
139,20741,140,香港,英雄本色,1986-08-08,FORTUNE STAR MEDIA LIMITED,34.0,18,526532,0,2291,0,0.000102337150927,36,526532,2291,372836,285036,2022
140,21747,141,香港,闔家辣,2022-07-22,金銀島製作有限公司##天下一電影製作有限公司##寰亞電影製作有限公司##香港電影發展基金,46.0,26,504321,0,2171,0,9.697684620843536e-05,46,504321,2171,319867,305242,2022
141,10916,142,香港,霸王別姬(數位修復版),1993-12-10,湯臣(香港)電影有限公司,34.0,18,489144,0,2082,0,9.300128687515543e-05,37,489144,2082,326352,254637,2022
142,22182,143,香港,媽的星寵兒,2022-09-02,英皇影業有限公司 ## 英皇娛樂(香港)有限公司 ## 香港電影發展基金 ,63.0,16,456510,0,1906,0,8.513950662057938e-05,63,456510,1906,310426,275269,2022
143,21786,144,香港,七人樂隊,2022-07-22,寰亞電影製作有限公司##中影寰亞音像製品有限公司##星光聯盟影業無錫有限公司##8028控股有限公司##北京真之影文化傳媒有限公司,44.0,24,369674,0,1641,0,7.330216703272338e-05,44,369674,1641,231097,178769,2022
144,22631,145,香港,憂鬱之島,2022-11-20,憂鬱之島製作有限公司,17.0,15,345803,0,1573,0,7.026466102527353e-05,22,345803,1573,268898,239578,2022
145,21047,146,香港,邊緣行者,2022-05-06,愛奇藝影業(北京)有限公司##愛奇藝電影集團香港有限公司##北京風和向日葵影業有限公司##廈門恒業影業有限公司##大足國際文化傳媒有限公司,27.0,26,303724,0,1288,0,5.7533937317579346e-05,27,303724,1288,243873,184753,2022
