Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,DomesticShare
180,Hijack 1971 (하이재킹),"$12,771,388","$242,069","$12,529,319",1.90%
181,Thelma,"$12,708,572","$9,002,073","$3,706,499",70.83%
182,Letuchiy Korabl (Летучий корабль),"$12,689,452",,"$12,689,452",
183,HOVERING BLADE (彷徨之刃),"$12,397,471",,"$12,397,471",
184,Am I Racist?,"$12,311,598","$12,311,598",,100.00%
185,Love Lies Bleeding,"$12,272,813","$7,830,385","$4,442,428",63.80%
186,Article 370,"$12,262,159","$980,649","$11,281,510",8.00%
187,Megalopolis,"$12,251,433","$7,629,085","$4,622,348",62.27%
188,Bonhoeffer: Pastor. Spy. Assassin,"$12,234,142","$12,218,270","$15,872",99.87%
189,Handsome Guys (핸섬가이즈),"$12,229,610",,"$12,229,610",
190,Mrs. Green Apple // The White Lounge in Cinema …,"$12,117,856",,"$12,117,856",
191,Ognivo (Огниво),"$11,976,811",,"$11,976,811",
192,Citizen of a Kind (시민덕희 ),"$11,732,896",,"$11,732,896",
193,Sound of Hope: The Story of Possum Trot,"$11,663,715","$11,647,099","$16,616",99.86%
194,Cells at Work! ( はたらく細胞),"$11,600,000",,"$11,600,000",
195,A Legend (传说),"$11,242,056",,"$11,242,056",
196,All About Suomi,"$11,221,708",,"$11,221,708",
197,National Theatre Live: Prima Facie,"$11,155,370",,"$11,155,370",
198,Eine Million Minuten,"$11,077,140",,"$11,077,140",
199,Maharaja,"$10,826,689",,"$10,826,689",
200,Muroi Shinji: Ikitsuzukeru Mono (室井慎次　生き続ける者)…,"$10,777,912",,"$10,777,912",
201,Domovyonok Kuzya (Домовёнок Кузя),"$10,721,251",,"$10,721,251",
202,Piece by Piece,"$10,677,633","$9,756,635","$920,998",91.37%
203,Le Comte de Monte-Cristo,"$10,596,323","$529,891","$10,066,432",5.00%
204,Alienoid: The Return to the Future,"$10,387,915","$60,720","$10,327,195",0.58%
205,Suga | Agust D Tour ‘D-Day’ The Movie,"$10,160,000","$1,951,896","$8,208,104",19.21%
206,I Am What I Am 2 (雄狮少年2),"$10,087,691",,"$10,087,691",
207,Land of Broken Hearts (负负得正),"$10,004,977",,"$10,004,977",
