Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,DomesticShare
1,Barbie,"$1,447,585,476","$636,785,476","$810,800,000",43.99%
2,The Super Mario Bros. Movie,"$1,359,146,628","$574,934,330","$784,212,298",42.30%
3,Oppenheimer,"$977,206,927","$329,862,540","$647,344,387",33.76%
4,Guardians of the Galaxy Vol 3,"$845,163,792","$358,995,815","$486,167,977",42.48%
5,Fast X,"$714,375,114","$146,126,015","$568,249,099",20.46%
6,Spider-Man: Across the Spider-Verse,"$681,138,413","$381,593,754","$299,544,659",56.02%
7,Wonka,"$634,681,815","$218,581,815","$416,100,000",34.44%
8,Full River Red (满江红),"$634,631,282",,"$634,631,282",
9,The Little Mermaid,"$569,626,289","$298,172,056","$271,454,233",52.35%
10,Mission: Impossible Dead Reckoning Part One,"$565,857,048","$172,640,980","$393,216,068",30.51%
11,The Wandering Earth 2 (流浪地球2),"$563,990,180","$5,023,132","$558,967,048",0.89%
12,No More Bets (孤注一掷),"$550,417,744",,"$550,417,744",
13,Xiāo Shī De Tā (消失的她),"$488,369,387","$820,000","$487,549,387",0.17%
14,Elemental,"$484,829,737","$154,426,697","$330,403,040",31.85%
15,Ant-Man and the Wasp: Quantumania,"$463,635,303","$214,506,909","$249,128,394",46.27%
16,John Wick: Chapter 4,"$440,320,578","$187,131,806","$253,188,772",42.50%
17,Aquaman and the Lost Kingdom,"$439,381,226","$124,481,226","$314,900,000",28.33%
18,Transformers: Rise of the Beasts,"$439,241,749","$157,341,749","$281,900,000",35.82%
19,Meg 2: The Trench,"$397,833,033","$82,633,033","$315,200,000",20.77%
20,Indiana Jones and the Dial of Destiny,"$383,963,057","$174,480,468","$209,482,589",45.44%
21,Creation of the Gods I: Kindom of Storms (封神第一部…,"$369,081,777","$1,706,355","$367,375,422",0.46%
22,The Hunger Games: The Ballad of Songbirds & Snakes,"$349,048,698","$166,350,594","$182,698,104",47.66%
23,Bā Jiǎo Lóng Zhōng (八角笼中),"$304,280,699",,"$304,280,699",
24,Migration,"$300,200,335","$127,630,880","$172,569,455",42.52%
25,Five Nights at Freddy’s,"$297,144,130","$137,275,620","$159,868,510",46.20%
26,The Boy and the Heron (君たちはどう生きるか)…,"$292,922,563","$46,832,867","$246,089,696",15.99%
27,Creed III,"$276,148,615","$156,248,615","$119,900,000",56.58%
28,The Flash,"$271,467,507","$108,167,507","$163,300,000",39.85%
29,The Nun II,"$269,670,590","$86,270,590","$183,400,000",31.99%
30,TAYLOR SWIFT | THE ERAS TOUR,"$261,413,059","$180,760,722","$80,652,337",69.15%
31,Cháng Ān Sān Wàn Lǐ (长安三万里),"$252,520,750",,"$252,520,750",
32,Sound of Freedom,"$250,729,678","$184,178,046","$66,551,632",73.46%
33,Wish,"$237,954,897","$63,973,821","$173,981,076",26.88%
34,Xióng Chū Mò Bàn Wǒ Xióng Xīn (熊出没·伴我“熊芯”)…,"$221,982,308",,"$221,982,308",
35,Anyone But You,"$219,819,668","$88,319,668","$131,500,000",40.18%
36,Napoleon,"$217,917,156","$61,524,375","$156,392,781",28.23%
37,Trolls Band Together,"$210,651,834","$103,974,820","$106,677,014",49.36%
38,Dungeons & Dragons: Honor Among Thieves,"$207,854,947","$93,549,650","$114,305,297",45.01%
39,PAW Patrol: The Mighty Movie,"$201,739,292","$65,343,309","$136,395,983",32.39%
40,The Marvels,"$199,706,250","$84,500,223","$115,206,027",42.31%
41,The Equalizer 3,"$191,067,560","$92,373,751","$98,693,809",48.35%
42,Under the Light (坚如磐石),"$190,036,119",,"$190,036,119",
43,Insidious: The Red Door,"$186,258,928","$82,156,962","$104,101,966",44.11%
44,Teenage Mutant Ninja Turtles: Mutant Mayhem,"$180,329,865","$118,700,272","$61,629,593",65.82%
45,Johnny Keep Walking (年会不能停！),"$178,444,932",,"$178,444,932",
46,Rén Shēng Lù Bù Shú (人生路不熟),"$175,689,449",,"$175,689,449",
47,Scream VI,"$169,063,850","$108,391,107","$60,672,743",64.11%
48,Killers of the Flower Moon,"$156,432,918","$68,035,488","$88,397,430",43.49%
49,Evil Dead Rise,"$147,156,372","$67,356,372","$79,800,000",45.77%
50,Ex File 4 (前任4：英年早婚),"$142,106,517",,"$142,106,517",
51,Wú Míng (无名),"$139,126,255","$803,189","$138,323,066",0.58%
52,The Exorcist: Believer,"$136,998,069","$65,537,395","$71,460,674",47.84%
53,Jawan,"$136,675,088","$15,198,530","$121,476,558",11.12%
54,Shēn Hǎi (深海),"$136,090,000",,"$136,090,000",
55,Shazam! Fury of the Gods,"$134,221,819","$57,721,819","$76,500,000",43.00%
56,Blue Beetle,"$130,841,501","$72,541,501","$58,300,000",55.44%
57,One and Only (热烈),"$127,509,527",,"$127,509,527",
58,Saw X,"$125,319,714","$53,607,898","$71,711,816",42.78%
59,Detective Conan: Black Iron Submarine,"$121,879,597",,"$121,879,597",
60,Volunteer Soldiers Attack (志愿军：雄兵出击)…,"$118,626,692",,"$118,626,692",
61,Gran Turismo: Based on a True Story,"$117,862,107","$44,428,554","$73,433,553",37.70%
62,Cháng Kōng Zhī Wáng (长空之王),"$117,299,494","$276,743","$117,022,751",0.24%
63,Haunted Mansion,"$114,797,989","$67,653,287","$47,144,702",58.93%
64,A Haunting in Venice,"$113,793,243","$42,471,412","$71,321,831",37.32%
65,Poor Things,"$111,894,450","$34,553,225","$77,341,225",30.88%
66,Pathaan,"$105,883,591","$17,487,476","$88,396,115",16.52%
67,Godzilla Minus One (ゴジラ最新作),"$105,094,084","$57,144,669","$47,949,415",54.37%
68,The Creator,"$104,272,136","$40,774,679","$63,497,457",39.10%
69,Bǎo Nǐ Píng Ān (保你平安),"$103,840,000",,"$103,840,000",
70,Endless Journey (三大队),"$98,087,239",,"$98,087,239",
71,12.12: The Day (서울의 봄),"$97,554,374",,"$97,554,374",
72,Shining For One Thing (一闪一闪亮星星),"$97,421,680",,"$97,421,680",
73,Spy x Family Code: White,"$95,745,713","$8,110,042","$87,635,671",8.47%
74,Moscow Mission (莫斯科行动),"$92,910,181",,"$92,910,181",
75,Talk To Me,"$92,181,818","$48,299,436","$43,882,382",52.40%
76,AIR,"$90,060,106","$52,460,106","$37,600,000",58.25%
77,Cocaine Bear,"$89,966,573","$64,670,240","$25,296,333",71.88%
78,Cheburashka (Чебурашка),"$86,155,544",,"$86,155,544",
79,Papa (学爸),"$84,135,517",,"$84,135,517",
80,No Hard Feelings,"$83,453,541","$50,452,282","$33,001,259",60.46%
81,The Boogeyman,"$82,344,833","$43,244,282","$39,100,551",52.52%
82,The Goldfinger (金手指),"$80,088,072",,"$80,088,072",
83,Last Suspect (拯救嫌疑人),"$79,965,280",,"$79,965,280",
84,Beomjoedosi 3 (범죄도시3),"$79,615,417","$909,411","$78,706,006",1.14%
85,Across the Furious Sea (涉过愤怒的海),"$76,360,102",,"$76,360,102",
86,The Pope’s Exorcist,"$72,913,467","$20,009,380","$52,904,087",27.44%
87,The Color Purple,"$68,919,191","$60,619,191","$8,300,000",87.96%
88,Dì Bā Gè Xián Yí Rén (第八个嫌疑人),"$60,034,311",,"$60,034,311",
89,Demon Slayer: Kimetsu No Yaiba—To the Swordsmit…,"$59,554,259","$16,945,424","$42,608,835",28.45%
90,Wǒ Ài Nǐ (我爱你!),"$59,552,986",,"$59,552,986",
91,Jiāo Huàn Rén Shēng (交换人生),"$58,290,000",,"$58,290,000",
92,Magic Mike’s Last Dance,"$57,133,633","$26,033,633","$31,100,000",45.57%
93,65,"$56,241,027","$32,062,904","$24,178,123",57.01%
94,The Boys in the Boat,"$55,521,574","$52,641,306","$2,880,268",94.81%
95,Mummies,"$55,160,498","$4,960,498","$50,200,000",8.99%
96,Knock at the Cabin,"$54,712,735","$35,397,980","$19,314,755",64.70%
97,I Did It My Way (潛行),"$54,316,292","$190,686","$54,125,606",0.35%
98,Asteroid City,"$53,953,790","$28,153,025","$25,800,765",52.18%
99,Jesus Revolution,"$53,380,981","$52,102,987","$1,277,994",97.61%
