Rank,Movie,Worldwide Box Office,Domestic Box Office,International Box Office,DomesticShare
100,BTS: Yet to Come in Cinemas (방탄소년단 옛 투 컴 인 시네마)…,"$53,000,000","$7,889,021","$45,110,979",14.88%
101,Chá Ā Èr Zhōng (茶啊二中),"$52,626,747",,"$52,626,747",
102,The Zone of Interest,"$52,548,877","$8,576,457","$43,972,420",16.32%
103,Big (816),"$51,972,528",,"$51,972,528",
104,Expend4bles,"$51,133,603","$16,710,153","$34,423,450",32.68%
105,Plane,"$47,855,350","$32,111,181","$15,744,169",67.10%
106,Missing,"$46,537,213","$32,502,025","$14,035,188",69.84%
107,"Ruby Gillman, Teenage Kraken","$46,247,409","$15,753,600","$30,493,809",34.06%
108,Thanksgiving,"$46,044,880","$31,945,385","$14,099,495",69.38%
109,The Iron Claw,"$45,745,981","$35,611,828","$10,134,153",77.85%
110,The Holdovers,"$45,537,686","$20,355,375","$25,182,311",44.70%
111,Doraemon the Movie: Nobita’s Sky Utopia (映画ドラえも…,"$45,525,160",,"$45,525,160",
112,Zhè Me Duō Nián (这么多年),"$44,570,000",,"$44,570,000",
113,RENAISSANCE: A FILM BY BEYONCÉ,"$44,372,181","$33,889,684","$10,482,497",76.38%
114,Zhōng Quǎn Bā Gōng (忠犬八公),"$43,234,633",,"$43,234,633",
115,C'è ancora domani,"$42,946,335",,"$42,946,335",
116,Past Lives,"$42,913,181","$10,950,663","$31,962,518",25.52%
117,Only the River Flows (河边的错误),"$42,796,291",,"$42,796,291",
118,Chāo Néng Yī Jiā Rén (超能一家人),"$41,209,025",,"$41,209,025",
119,Shin Jigen! Crayon Shin-chan the Movie (しん次元！クレ…,"$41,108,385",,"$41,108,385",
120,Ferrari,"$40,989,660","$18,550,030","$22,439,630",45.26%
121,80 for Brady,"$40,384,027","$39,448,525","$935,502",97.68%
122,Sǎo Dú 3 Rén Zài Tiān Yá (扫毒3:人在天涯)…,"$39,794,789",,"$39,794,789",
123,Kingdom 3: The Flame of Destiny (キングダム 運命の炎)…,"$39,761,926",,"$39,761,926",
124,My Big Fat Greek Wedding 3,"$38,861,673","$28,496,030","$10,365,643",73.33%
125,Love Life Light (照明商店),"$38,242,892",,"$38,242,892",
126,Milsu (밀수),"$36,635,299",,"$36,635,299",
127,Strays,"$35,983,009","$23,988,885","$11,994,124",66.67%
128,Don’t Call It Mystery: The Movie (ミステリと言う勿れ)…,"$34,090,080",,"$34,090,080",
129,Noryang: Deadly Sea (노량-죽음의 바다),"$34,057,896","$314,089","$33,743,807",0.92%
130,So Long for Love (再见，李可乐),"$33,786,675",,"$33,786,675",
131,One Life,"$32,974,382","$5,716,885","$27,257,497",17.34%
132,Tiger 3,"$32,339,091","$5,365,263","$26,973,828",16.59%
133,TOKYO MER: Mobile Emergency Room: THE MOVIE (劇場…,"$32,145,898",,"$32,145,898",
134,Bore (怒潮),"$31,910,932",,"$31,910,932",
135,Long Ma Jing Shen (龙马精神),"$31,722,744","$64,759","$31,657,985",0.20%
136,Priscilla,"$30,977,065","$20,864,910","$10,112,155",67.36%
137,Huí Láng Tíng (回廊亭),"$30,350,000",,"$30,350,000",
138,Til We Meet Again on the Lily Hil (あの花が咲く丘で、君とま…,"$29,438,465",,"$29,438,465",
139,Book Club: The Next Chapter,"$29,121,628","$17,581,565","$11,540,063",60.37%
140,Konkeuriteu Yutopia (콘크리트 유토피아 ),"$28,547,938",,"$28,547,938",
141,Operation Fortune: Ruse de guerre,"$27,835,815","$6,496,125","$21,339,690",23.34%
142,Po Shchuchemu Veleniyu (По щучьему велению)…,"$27,818,652",,"$27,818,652",
143,Renfield,"$26,874,347","$17,297,895","$9,576,452",64.37%
144,Perfect Days,"$26,031,605","$3,766,668","$22,264,937",14.47%
145,Beijing 2022 (北京 2022),"$24,790,100",,"$24,790,100",
146,Wǒ Jīng Guò Fēng Bào (我经过风暴),"$24,732,804",,"$24,732,804",
147,Lose to Win (好像也没那么热血沸腾),"$23,927,919",,"$23,927,919",
148,The Invisible Guest (瞒天过海),"$23,125,794",,"$23,125,794",
149,American Fiction,"$23,026,243","$21,098,470","$1,927,773",91.63%
150,Vyzov (Вызов),"$22,954,969",,"$22,954,969",
151,Anatomie d'une chute,"$22,286,115","$5,076,369","$17,209,746",22.78%
152,Animal,"$21,681,537","$15,000,076","$6,681,461",69.18%
153,"Are You There God? It’s Me, Margaret","$21,581,824","$20,372,406","$1,209,418",94.40%
154,Radical,"$21,344,032","$8,702,731","$12,641,301",40.77%
155,Saltburn,"$21,025,999","$11,425,829","$9,600,170",54.34%
156,Nosso Lar,"$20,932,364",,"$20,932,364",
157,IDOLiSH7 the Movie; LIVE 4bit BEYOND THE PERiOD…,"$20,916,340",,"$20,916,340",
158,Guy Ritchie’s The Covenant,"$20,703,249","$16,938,039","$3,765,210",81.81%
159,The Last Voyage of the Demeter,"$20,397,648","$13,637,180","$6,760,468",66.86%
160,All of Us Strangers,"$19,882,665","$4,050,103","$15,832,562",20.37%
161,Be My Family (无价之宝),"$19,249,994",,"$19,249,994",
162,Tokyo Revengers 2 (東京リベンジャーズ２ 血のハロウィン編 -運命-)…,"$19,230,769",,"$19,230,769",
163,Champions,"$19,116,078","$16,397,335","$2,718,743",85.78%
164,The Blackening,"$18,563,767","$17,707,207","$856,560",95.39%
165,Next Goal Wins,"$17,968,934","$6,713,826","$11,255,108",37.36%
166,Dumb Money,"$17,956,910","$13,919,484","$4,037,426",77.52%
167,The Birth of Kitaro: The Mystery of GeGeGe (鬼太郎…,"$17,832,427",,"$17,832,427",
168,About My Father,"$17,657,217","$12,089,391","$5,567,826",68.47%
169,The Legend and Butterfly,"$17,527,675",,"$17,527,675",
170,The Blind,"$17,265,487","$17,265,487",,100.00%
171,Shin Kamen Rider (シン・仮面ライダー),"$16,652,913",,"$16,652,913",
172,Tokyo Revengers 2: Bloody Halloween — Decisive …,"$16,605,166",,"$16,605,166",
173,World\'s Greatest Dad (二手杰作),"$16,201,808",,"$16,201,808",
174,30 il (30일),"$16,153,680",,"$16,153,680",
175,Joy Ride,"$15,518,636","$12,897,789","$2,620,847",83.11%
176,Late Night with the Devil,"$15,449,368","$10,001,000","$5,448,368",64.73%
177,Dr. Cheon and Lost Talisman (천박사 퇴마 연구소-설경의 비밀)…,"$14,280,419","$84,362","$14,196,057",0.59%
178,If You Are the One 3 (非诚勿扰3),"$14,203,359",,"$14,203,359",
179,If We Were Lucky (不要走散好不好),"$14,162,404",,"$14,162,404",
180,Zhōng Guó Pīng Pāng (中国乒乓),"$14,085,673",,"$14,085,673",
181,Ocho Apellidos Marroquís,"$14,084,388",,"$14,084,388",
182,Beyond the Clouds (我本是高山),"$14,040,868",,"$14,040,868",
183,Bursting Point (爆裂点),"$13,927,093",,"$13,927,093",
184,Retribution,"$13,564,201","$6,937,696","$6,626,505",51.15%
185,His Only Son,"$13,506,715","$12,084,084","$1,422,631",89.47%
186,Gyoseob (교섭),"$13,328,013",,"$13,328,013",
187,Bottoms,"$12,973,482","$12,036,071","$937,411",92.77%
188,Campeonex,"$12,909,853",,"$12,909,853",
189,Tri Bogatyrya i pup zemli (Три Богатыря и пуп з…,"$12,799,769",,"$12,799,769",
190,Dream Scenario,"$12,502,808","$5,742,193","$6,760,615",45.93%
191,The Shift,"$12,227,761","$12,118,219","$109,542",99.10%
192,After Death,"$11,831,121","$11,478,326","$352,795",97.02%
193,Backkom Bear: Mars Mission (贝肯熊：火星任务)…,"$11,762,819",,"$11,762,819",
194,Dunki,"$11,717,031","$7,460,159","$4,256,872",63.67%
195,Hypnotic,"$11,436,671","$4,500,169","$6,936,502",39.35%
196,Die Drei ??? - Erbe des Drachen,"$11,300,000",,"$11,300,000",
197,Manifesto,"$11,287,061",,"$11,287,061",
198,Beau is Afraid,"$11,174,650","$8,176,562","$2,998,088",73.17%
199,Chāo Jí Fēi Xiá Lè Dí Jiā Sù (超级飞侠：乐迪加速)…,"$11,114,632",,"$11,114,632",
200,Sisu,"$11,068,245","$7,265,622","$3,802,623",65.64%
201,Salaar: Cease Fire — Part 1,"$11,006,584","$8,929,282","$2,077,302",81.13%
202,Àn Shā Fēng Bào (暗杀风暴),"$10,947,024",,"$10,947,024",
203,Love Again,"$10,726,032","$6,230,837","$4,495,195",58.09%
204,The Machine,"$10,656,936","$10,458,331","$198,605",98.14%
205,The Great Escaper,"$10,474,208",,"$10,474,208",
206,Sleep (잠),"$10,348,900","$34,221","$10,314,679",0.33%
207,Niàn Niàn Xiāng Wàng (念念相忘),"$10,324,663",,"$10,324,663",
